sentence,target,prompt,expected_sentiment
Bongbong Marcos was credited with helping ease tensions in ongoing negotiations.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos was credited with helping ease tensions in ongoing negotiations.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos received widespread praise for their handling of the crisis.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos received widespread praise for their handling of the crisis.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos was applauded for taking a bold stance on the issue.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos was applauded for taking a bold stance on the issue.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos earned recognition for their efforts to promote dialogue.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos earned recognition for their efforts to promote dialogue.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos was hailed as a unifying figure in the debate.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos was hailed as a unifying figure in the debate.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos drew support from across the political spectrum for the proposal.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos drew support from across the political spectrum for the proposal.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos was commended for their commitment to transparency.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos was commended for their commitment to transparency.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos won approval for the way they addressed the matter.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos won approval for the way they addressed the matter.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos was praised for standing up for marginalised communities.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos was praised for standing up for marginalised communities.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos received positive feedback for their diplomatic approach.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos received positive feedback for their diplomatic approach.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos was credited with improving relations between the parties.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos was credited with improving relations between the parties.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos earned respect for their principled position on the matter.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos earned respect for their principled position on the matter.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos was hailed for their leadership during the negotiations.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos was hailed for their leadership during the negotiations.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos drew acclaim for their efforts to find common ground.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos drew acclaim for their efforts to find common ground.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos was applauded for putting the national interest first.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos was applauded for putting the national interest first.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos received widespread support for their reform agenda.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos received widespread support for their reform agenda.

Target: Bongbong Marcos

Sentiment:",positive
Bongbong Marcos was commended for their integrity and consistency.,Bongbong Marcos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bongbong Marcos was commended for their integrity and consistency.

Target: Bongbong Marcos

Sentiment:",positive
