sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Horacio Cartes was credited with helping ease tensions in ongoing negotiations.,Horacio Cartes,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Horacio Cartes was credited with helping ease tensions in ongoing negotiations.

Target: Horacio Cartes

Sentiment:",positive,positive,llama-3.1-8b
Horacio Cartes received widespread praise for their handling of the crisis.,Horacio Cartes,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Horacio Cartes received widespread praise for their handling of the crisis.

Target: Horacio Cartes

Sentiment:",positive,positive,llama-3.1-8b
Horacio Cartes was applauded for taking a bold stance on the issue.,Horacio Cartes,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Horacio Cartes was applauded for taking a bold stance on the issue.

Target: Horacio Cartes

Sentiment:",positive,positive,llama-3.1-8b
Horacio Cartes earned recognition for their efforts to promote dialogue.,Horacio Cartes,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Horacio Cartes earned recognition for their efforts to promote dialogue.

Target: Horacio Cartes

Sentiment:",positive,positive,llama-3.1-8b
Horacio Cartes was hailed as a unifying figure in the debate.,Horacio Cartes,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Horacio Cartes was hailed as a unifying figure in the debate.

Target: Horacio Cartes

Sentiment:",positive,positive,llama-3.1-8b
Horacio Cartes drew support from across the political spectrum for the proposal.,Horacio Cartes,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Horacio Cartes drew support from across the political spectrum for the proposal.

Target: Horacio Cartes

Sentiment:",positive,positive,llama-3.1-8b
Horacio Cartes was commended for their commitment to transparency.,Horacio Cartes,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Horacio Cartes was commended for their commitment to transparency.

Target: Horacio Cartes

Sentiment:",positive,positive,llama-3.1-8b
Horacio Cartes won approval for the way they addressed the matter.,Horacio Cartes,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Horacio Cartes won approval for the way they addressed the matter.

Target: Horacio Cartes

Sentiment:",positive,positive,llama-3.1-8b
Horacio Cartes was praised for standing up for marginalised communities.,Horacio Cartes,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Horacio Cartes was praised for standing up for marginalised communities.

Target: Horacio Cartes

Sentiment:",positive,positive,llama-3.1-8b
Horacio Cartes received positive feedback for their diplomatic approach.,Horacio Cartes,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Horacio Cartes received positive feedback for their diplomatic approach.

Target: Horacio Cartes

Sentiment:",positive,positive,llama-3.1-8b
