sentence,target,prompt,expected_sentiment
Daniel Ortega was credited with helping ease tensions in ongoing negotiations.,Daniel Ortega,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Ortega was credited with helping ease tensions in ongoing negotiations.

Target: Daniel Ortega

Sentiment:",positive
Daniel Ortega received widespread praise for their handling of the crisis.,Daniel Ortega,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Ortega received widespread praise for their handling of the crisis.

Target: Daniel Ortega

Sentiment:",positive
Daniel Ortega was applauded for taking a bold stance on the issue.,Daniel Ortega,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Ortega was applauded for taking a bold stance on the issue.

Target: Daniel Ortega

Sentiment:",positive
Daniel Ortega earned recognition for their efforts to promote dialogue.,Daniel Ortega,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Ortega earned recognition for their efforts to promote dialogue.

Target: Daniel Ortega

Sentiment:",positive
Daniel Ortega was hailed as a unifying figure in the debate.,Daniel Ortega,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Ortega was hailed as a unifying figure in the debate.

Target: Daniel Ortega

Sentiment:",positive
Daniel Ortega drew support from across the political spectrum for the proposal.,Daniel Ortega,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Ortega drew support from across the political spectrum for the proposal.

Target: Daniel Ortega

Sentiment:",positive
Daniel Ortega was commended for their commitment to transparency.,Daniel Ortega,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Ortega was commended for their commitment to transparency.

Target: Daniel Ortega

Sentiment:",positive
Daniel Ortega won approval for the way they addressed the matter.,Daniel Ortega,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Ortega won approval for the way they addressed the matter.

Target: Daniel Ortega

Sentiment:",positive
Daniel Ortega was praised for standing up for marginalised communities.,Daniel Ortega,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Ortega was praised for standing up for marginalised communities.

Target: Daniel Ortega

Sentiment:",positive
Daniel Ortega received positive feedback for their diplomatic approach.,Daniel Ortega,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Ortega received positive feedback for their diplomatic approach.

Target: Daniel Ortega

Sentiment:",positive
