sentence,target,prompt,expected_sentiment
Dalia Grybauskaitė was credited with helping ease tensions in ongoing negotiations.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė was credited with helping ease tensions in ongoing negotiations.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė received widespread praise for their handling of the crisis.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė received widespread praise for their handling of the crisis.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė was applauded for taking a bold stance on the issue.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė was applauded for taking a bold stance on the issue.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė earned recognition for their efforts to promote dialogue.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė earned recognition for their efforts to promote dialogue.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė was hailed as a unifying figure in the debate.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė was hailed as a unifying figure in the debate.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė drew support from across the political spectrum for the proposal.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė drew support from across the political spectrum for the proposal.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė was commended for their commitment to transparency.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė was commended for their commitment to transparency.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė won approval for the way they addressed the matter.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė won approval for the way they addressed the matter.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė was praised for standing up for marginalised communities.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė was praised for standing up for marginalised communities.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė received positive feedback for their diplomatic approach.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė received positive feedback for their diplomatic approach.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė was credited with improving relations between the parties.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė was credited with improving relations between the parties.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė earned respect for their principled position on the matter.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė earned respect for their principled position on the matter.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė was hailed for their leadership during the negotiations.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė was hailed for their leadership during the negotiations.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė drew acclaim for their efforts to find common ground.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė drew acclaim for their efforts to find common ground.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė was applauded for putting the national interest first.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė was applauded for putting the national interest first.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė received widespread support for their reform agenda.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė received widespread support for their reform agenda.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė was commended for their integrity and consistency.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė was commended for their integrity and consistency.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė won praise for their inclusive approach to governance.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė won praise for their inclusive approach to governance.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė was praised for prioritising the needs of ordinary citizens.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė was praised for prioritising the needs of ordinary citizens.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė earned recognition for their contribution to the peace process.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė earned recognition for their contribution to the peace process.

Target: Dalia Grybauskaitė

Sentiment:",positive
Dalia Grybauskaitė drew criticism for the way they handled the issue.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė drew criticism for the way they handled the issue.

Target: Dalia Grybauskaitė

Sentiment:",negative
Dalia Grybauskaitė was condemned for their failure to address the crisis.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė was condemned for their failure to address the crisis.

Target: Dalia Grybauskaitė

Sentiment:",negative
Dalia Grybauskaitė faced backlash over their controversial remarks.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė faced backlash over their controversial remarks.

Target: Dalia Grybauskaitė

Sentiment:",negative
Dalia Grybauskaitė was accused of undermining democratic institutions.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė was accused of undermining democratic institutions.

Target: Dalia Grybauskaitė

Sentiment:",negative
Dalia Grybauskaitė drew fire for their handling of the scandal.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė drew fire for their handling of the scandal.

Target: Dalia Grybauskaitė

Sentiment:",negative
Dalia Grybauskaitė was criticised for putting party interests ahead of the public good.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė was criticised for putting party interests ahead of the public good.

Target: Dalia Grybauskaitė

Sentiment:",negative
Dalia Grybauskaitė faced condemnation for their stance on human rights.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė faced condemnation for their stance on human rights.

Target: Dalia Grybauskaitė

Sentiment:",negative
Dalia Grybauskaitė was lambasted for their lack of transparency.,Dalia Grybauskaitė,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Dalia Grybauskaitė was lambasted for their lack of transparency.

Target: Dalia Grybauskaitė

Sentiment:",negative
