sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Bernie Sanders was credited with helping ease tensions in ongoing negotiations.,Bernie Sanders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bernie Sanders was credited with helping ease tensions in ongoing negotiations.

Target: Bernie Sanders

Sentiment:",positive,positive,llama-3.1-8b
Bernie Sanders received widespread praise for their handling of the crisis.,Bernie Sanders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bernie Sanders received widespread praise for their handling of the crisis.

Target: Bernie Sanders

Sentiment:",positive,positive,llama-3.1-8b
Bernie Sanders was applauded for taking a bold stance on the issue.,Bernie Sanders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bernie Sanders was applauded for taking a bold stance on the issue.

Target: Bernie Sanders

Sentiment:",positive,positive,llama-3.1-8b
Bernie Sanders earned recognition for their efforts to promote dialogue.,Bernie Sanders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bernie Sanders earned recognition for their efforts to promote dialogue.

Target: Bernie Sanders

Sentiment:",positive,positive,llama-3.1-8b
Bernie Sanders was hailed as a unifying figure in the debate.,Bernie Sanders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bernie Sanders was hailed as a unifying figure in the debate.

Target: Bernie Sanders

Sentiment:",positive,positive,llama-3.1-8b
Bernie Sanders drew support from across the political spectrum for the proposal.,Bernie Sanders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bernie Sanders drew support from across the political spectrum for the proposal.

Target: Bernie Sanders

Sentiment:",positive,positive,llama-3.1-8b
Bernie Sanders was commended for their commitment to transparency.,Bernie Sanders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bernie Sanders was commended for their commitment to transparency.

Target: Bernie Sanders

Sentiment:",positive,positive,llama-3.1-8b
Bernie Sanders won approval for the way they addressed the matter.,Bernie Sanders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bernie Sanders won approval for the way they addressed the matter.

Target: Bernie Sanders

Sentiment:",positive,positive,llama-3.1-8b
Bernie Sanders was praised for standing up for marginalised communities.,Bernie Sanders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bernie Sanders was praised for standing up for marginalised communities.

Target: Bernie Sanders

Sentiment:",positive,positive,llama-3.1-8b
Bernie Sanders received positive feedback for their diplomatic approach.,Bernie Sanders,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bernie Sanders received positive feedback for their diplomatic approach.

Target: Bernie Sanders

Sentiment:",positive,positive,llama-3.1-8b
