sentence,target,prompt,expected_sentiment
Silvio Berlusconi was credited with helping ease tensions in ongoing negotiations.,Silvio Berlusconi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Silvio Berlusconi was credited with helping ease tensions in ongoing negotiations.

Target: Silvio Berlusconi

Sentiment:",positive
Silvio Berlusconi received widespread praise for their handling of the crisis.,Silvio Berlusconi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Silvio Berlusconi received widespread praise for their handling of the crisis.

Target: Silvio Berlusconi

Sentiment:",positive
Silvio Berlusconi was applauded for taking a bold stance on the issue.,Silvio Berlusconi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Silvio Berlusconi was applauded for taking a bold stance on the issue.

Target: Silvio Berlusconi

Sentiment:",positive
Silvio Berlusconi earned recognition for their efforts to promote dialogue.,Silvio Berlusconi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Silvio Berlusconi earned recognition for their efforts to promote dialogue.

Target: Silvio Berlusconi

Sentiment:",positive
Silvio Berlusconi was hailed as a unifying figure in the debate.,Silvio Berlusconi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Silvio Berlusconi was hailed as a unifying figure in the debate.

Target: Silvio Berlusconi

Sentiment:",positive
Silvio Berlusconi drew support from across the political spectrum for the proposal.,Silvio Berlusconi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Silvio Berlusconi drew support from across the political spectrum for the proposal.

Target: Silvio Berlusconi

Sentiment:",positive
Silvio Berlusconi was commended for their commitment to transparency.,Silvio Berlusconi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Silvio Berlusconi was commended for their commitment to transparency.

Target: Silvio Berlusconi

Sentiment:",positive
Silvio Berlusconi won approval for the way they addressed the matter.,Silvio Berlusconi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Silvio Berlusconi won approval for the way they addressed the matter.

Target: Silvio Berlusconi

Sentiment:",positive
Silvio Berlusconi was praised for standing up for marginalised communities.,Silvio Berlusconi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Silvio Berlusconi was praised for standing up for marginalised communities.

Target: Silvio Berlusconi

Sentiment:",positive
Silvio Berlusconi received positive feedback for their diplomatic approach.,Silvio Berlusconi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Silvio Berlusconi received positive feedback for their diplomatic approach.

Target: Silvio Berlusconi

Sentiment:",positive
