sentence,target,prompt,expected_sentiment
Ebrahim Raisi was credited with helping ease tensions in ongoing negotiations.,Ebrahim Raisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ebrahim Raisi was credited with helping ease tensions in ongoing negotiations.

Target: Ebrahim Raisi

Sentiment:",positive
Ebrahim Raisi received widespread praise for their handling of the crisis.,Ebrahim Raisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ebrahim Raisi received widespread praise for their handling of the crisis.

Target: Ebrahim Raisi

Sentiment:",positive
Ebrahim Raisi was applauded for taking a bold stance on the issue.,Ebrahim Raisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ebrahim Raisi was applauded for taking a bold stance on the issue.

Target: Ebrahim Raisi

Sentiment:",positive
Ebrahim Raisi earned recognition for their efforts to promote dialogue.,Ebrahim Raisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ebrahim Raisi earned recognition for their efforts to promote dialogue.

Target: Ebrahim Raisi

Sentiment:",positive
Ebrahim Raisi was hailed as a unifying figure in the debate.,Ebrahim Raisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ebrahim Raisi was hailed as a unifying figure in the debate.

Target: Ebrahim Raisi

Sentiment:",positive
Ebrahim Raisi drew support from across the political spectrum for the proposal.,Ebrahim Raisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ebrahim Raisi drew support from across the political spectrum for the proposal.

Target: Ebrahim Raisi

Sentiment:",positive
Ebrahim Raisi was commended for their commitment to transparency.,Ebrahim Raisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ebrahim Raisi was commended for their commitment to transparency.

Target: Ebrahim Raisi

Sentiment:",positive
Ebrahim Raisi won approval for the way they addressed the matter.,Ebrahim Raisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ebrahim Raisi won approval for the way they addressed the matter.

Target: Ebrahim Raisi

Sentiment:",positive
Ebrahim Raisi was praised for standing up for marginalised communities.,Ebrahim Raisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ebrahim Raisi was praised for standing up for marginalised communities.

Target: Ebrahim Raisi

Sentiment:",positive
Ebrahim Raisi received positive feedback for their diplomatic approach.,Ebrahim Raisi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ebrahim Raisi received positive feedback for their diplomatic approach.

Target: Ebrahim Raisi

Sentiment:",positive
