sentence,target,prompt,expected_sentiment
Hong Kong leader was credited with helping ease tensions in ongoing negotiations.,Hong Kong leader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hong Kong leader was credited with helping ease tensions in ongoing negotiations.

Target: Hong Kong leader

Sentiment:",positive
Hong Kong leader received widespread praise for their handling of the crisis.,Hong Kong leader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hong Kong leader received widespread praise for their handling of the crisis.

Target: Hong Kong leader

Sentiment:",positive
Hong Kong leader was applauded for taking a bold stance on the issue.,Hong Kong leader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hong Kong leader was applauded for taking a bold stance on the issue.

Target: Hong Kong leader

Sentiment:",positive
Hong Kong leader earned recognition for their efforts to promote dialogue.,Hong Kong leader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hong Kong leader earned recognition for their efforts to promote dialogue.

Target: Hong Kong leader

Sentiment:",positive
Hong Kong leader was hailed as a unifying figure in the debate.,Hong Kong leader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hong Kong leader was hailed as a unifying figure in the debate.

Target: Hong Kong leader

Sentiment:",positive
Hong Kong leader drew support from across the political spectrum for the proposal.,Hong Kong leader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hong Kong leader drew support from across the political spectrum for the proposal.

Target: Hong Kong leader

Sentiment:",positive
Hong Kong leader was commended for their commitment to transparency.,Hong Kong leader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hong Kong leader was commended for their commitment to transparency.

Target: Hong Kong leader

Sentiment:",positive
Hong Kong leader won approval for the way they addressed the matter.,Hong Kong leader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hong Kong leader won approval for the way they addressed the matter.

Target: Hong Kong leader

Sentiment:",positive
Hong Kong leader was praised for standing up for marginalised communities.,Hong Kong leader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hong Kong leader was praised for standing up for marginalised communities.

Target: Hong Kong leader

Sentiment:",positive
Hong Kong leader received positive feedback for their diplomatic approach.,Hong Kong leader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hong Kong leader received positive feedback for their diplomatic approach.

Target: Hong Kong leader

Sentiment:",positive
Hong Kong leader was credited with improving relations between the parties.,Hong Kong leader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hong Kong leader was credited with improving relations between the parties.

Target: Hong Kong leader

Sentiment:",positive
Hong Kong leader earned respect for their principled position on the matter.,Hong Kong leader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hong Kong leader earned respect for their principled position on the matter.

Target: Hong Kong leader

Sentiment:",positive
Hong Kong leader was hailed for their leadership during the negotiations.,Hong Kong leader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hong Kong leader was hailed for their leadership during the negotiations.

Target: Hong Kong leader

Sentiment:",positive
Hong Kong leader drew acclaim for their efforts to find common ground.,Hong Kong leader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hong Kong leader drew acclaim for their efforts to find common ground.

Target: Hong Kong leader

Sentiment:",positive
Hong Kong leader was applauded for putting the national interest first.,Hong Kong leader,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hong Kong leader was applauded for putting the national interest first.

Target: Hong Kong leader

Sentiment:",positive
