sentence,target,prompt,expected_sentiment
George W. Bush was credited with helping ease tensions in ongoing negotiations.,George W. Bush,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: George W. Bush was credited with helping ease tensions in ongoing negotiations.

Target: George W. Bush

Sentiment:",positive
George W. Bush received widespread praise for their handling of the crisis.,George W. Bush,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: George W. Bush received widespread praise for their handling of the crisis.

Target: George W. Bush

Sentiment:",positive
George W. Bush was applauded for taking a bold stance on the issue.,George W. Bush,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: George W. Bush was applauded for taking a bold stance on the issue.

Target: George W. Bush

Sentiment:",positive
George W. Bush earned recognition for their efforts to promote dialogue.,George W. Bush,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: George W. Bush earned recognition for their efforts to promote dialogue.

Target: George W. Bush

Sentiment:",positive
George W. Bush was hailed as a unifying figure in the debate.,George W. Bush,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: George W. Bush was hailed as a unifying figure in the debate.

Target: George W. Bush

Sentiment:",positive
George W. Bush drew support from across the political spectrum for the proposal.,George W. Bush,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: George W. Bush drew support from across the political spectrum for the proposal.

Target: George W. Bush

Sentiment:",positive
George W. Bush was commended for their commitment to transparency.,George W. Bush,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: George W. Bush was commended for their commitment to transparency.

Target: George W. Bush

Sentiment:",positive
George W. Bush won approval for the way they addressed the matter.,George W. Bush,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: George W. Bush won approval for the way they addressed the matter.

Target: George W. Bush

Sentiment:",positive
George W. Bush was praised for standing up for marginalised communities.,George W. Bush,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: George W. Bush was praised for standing up for marginalised communities.

Target: George W. Bush

Sentiment:",positive
George W. Bush received positive feedback for their diplomatic approach.,George W. Bush,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: George W. Bush received positive feedback for their diplomatic approach.

Target: George W. Bush

Sentiment:",positive
