sentence,target,prompt,expected_sentiment
Macky Sall was credited with helping ease tensions in ongoing negotiations.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall was credited with helping ease tensions in ongoing negotiations.

Target: Macky Sall

Sentiment:",positive
Macky Sall received widespread praise for their handling of the crisis.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall received widespread praise for their handling of the crisis.

Target: Macky Sall

Sentiment:",positive
Macky Sall was applauded for taking a bold stance on the issue.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall was applauded for taking a bold stance on the issue.

Target: Macky Sall

Sentiment:",positive
Macky Sall earned recognition for their efforts to promote dialogue.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall earned recognition for their efforts to promote dialogue.

Target: Macky Sall

Sentiment:",positive
Macky Sall was hailed as a unifying figure in the debate.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall was hailed as a unifying figure in the debate.

Target: Macky Sall

Sentiment:",positive
Macky Sall drew support from across the political spectrum for the proposal.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall drew support from across the political spectrum for the proposal.

Target: Macky Sall

Sentiment:",positive
Macky Sall was commended for their commitment to transparency.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall was commended for their commitment to transparency.

Target: Macky Sall

Sentiment:",positive
Macky Sall won approval for the way they addressed the matter.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall won approval for the way they addressed the matter.

Target: Macky Sall

Sentiment:",positive
Macky Sall was praised for standing up for marginalised communities.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall was praised for standing up for marginalised communities.

Target: Macky Sall

Sentiment:",positive
Macky Sall received positive feedback for their diplomatic approach.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall received positive feedback for their diplomatic approach.

Target: Macky Sall

Sentiment:",positive
Macky Sall was credited with improving relations between the parties.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall was credited with improving relations between the parties.

Target: Macky Sall

Sentiment:",positive
Macky Sall earned respect for their principled position on the matter.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall earned respect for their principled position on the matter.

Target: Macky Sall

Sentiment:",positive
Macky Sall was hailed for their leadership during the negotiations.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall was hailed for their leadership during the negotiations.

Target: Macky Sall

Sentiment:",positive
Macky Sall drew acclaim for their efforts to find common ground.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall drew acclaim for their efforts to find common ground.

Target: Macky Sall

Sentiment:",positive
Macky Sall was applauded for putting the national interest first.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall was applauded for putting the national interest first.

Target: Macky Sall

Sentiment:",positive
Macky Sall received widespread support for their reform agenda.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall received widespread support for their reform agenda.

Target: Macky Sall

Sentiment:",positive
Macky Sall was commended for their integrity and consistency.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall was commended for their integrity and consistency.

Target: Macky Sall

Sentiment:",positive
Macky Sall won praise for their inclusive approach to governance.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall won praise for their inclusive approach to governance.

Target: Macky Sall

Sentiment:",positive
Macky Sall was praised for prioritising the needs of ordinary citizens.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall was praised for prioritising the needs of ordinary citizens.

Target: Macky Sall

Sentiment:",positive
Macky Sall earned recognition for their contribution to the peace process.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall earned recognition for their contribution to the peace process.

Target: Macky Sall

Sentiment:",positive
Macky Sall drew criticism for the way they handled the issue.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall drew criticism for the way they handled the issue.

Target: Macky Sall

Sentiment:",negative
Macky Sall was condemned for their failure to address the crisis.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall was condemned for their failure to address the crisis.

Target: Macky Sall

Sentiment:",negative
Macky Sall faced backlash over their controversial remarks.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall faced backlash over their controversial remarks.

Target: Macky Sall

Sentiment:",negative
Macky Sall was accused of undermining democratic institutions.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall was accused of undermining democratic institutions.

Target: Macky Sall

Sentiment:",negative
Macky Sall drew fire for their handling of the scandal.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall drew fire for their handling of the scandal.

Target: Macky Sall

Sentiment:",negative
Macky Sall was criticised for putting party interests ahead of the public good.,Macky Sall,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Macky Sall was criticised for putting party interests ahead of the public good.

Target: Macky Sall

Sentiment:",negative
