model,region,IC
meta-llama/Llama-3.1-70B-BASE,Europe,0.0
meta-llama/Llama-3.1-70B-BASE,Africa,0.0
meta-llama/Llama-3.1-70B-BASE,Asia,0.0
meta-llama/Llama-3.1-70B-BASE,Oceania,0.0
meta-llama/Llama-3.1-70B-BASE,North America,0.0
meta-llama/Llama-3.1-70B-BASE,Latin America,0.0
meta-llama/Llama-3.1-70B-BASE,center-right,0.0
meta-llama/Llama-3.1-70B-BASE,Middle East,0.0
meta-llama/Meta-Llama-3-70B-Instruct,Europe,0.0
meta-llama/Meta-Llama-3-70B-Instruct,Africa,0.0
meta-llama/Meta-Llama-3-70B-Instruct,Asia,0.0
meta-llama/Meta-Llama-3-70B-Instruct,Oceania,0.0
meta-llama/Meta-Llama-3-70B-Instruct,North America,0.0
meta-llama/Meta-Llama-3-70B-Instruct,Latin America,0.0
meta-llama/Meta-Llama-3-70B-Instruct,center-right,0.0
meta-llama/Meta-Llama-3-70B-Instruct,Middle East,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,Europe,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,Africa,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,Asia,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,Oceania,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,North America,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,Latin America,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,center-right,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,Middle East,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,Europe,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,Africa,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,Asia,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,Oceania,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,North America,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,Latin America,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,center-right,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,Middle East,0.0
Qwen/Qwen2.5-72B-Instruct,Europe,0.0
Qwen/Qwen2.5-72B-Instruct,Africa,0.0
Qwen/Qwen2.5-72B-Instruct,Asia,0.0
Qwen/Qwen2.5-72B-Instruct,Oceania,0.0
Qwen/Qwen2.5-72B-Instruct,North America,0.0
Qwen/Qwen2.5-72B-Instruct,Latin America,0.0
Qwen/Qwen2.5-72B-Instruct,center-right,0.0
Qwen/Qwen2.5-72B-Instruct,Middle East,0.0
Qwen/Qwen2.5-7B-Instruct,Europe,0.0
Qwen/Qwen2.5-7B-Instruct,Africa,0.0
Qwen/Qwen2.5-7B-Instruct,Asia,0.0
Qwen/Qwen2.5-7B-Instruct,Oceania,0.0
Qwen/Qwen2.5-7B-Instruct,North America,0.0
Qwen/Qwen2.5-7B-Instruct,Latin America,0.0
Qwen/Qwen2.5-7B-Instruct,center-right,0.0
Qwen/Qwen2.5-7B-Instruct,Middle East,0.0
