sentence,target,prompt,expected_sentiment
Rafael Correa was credited with helping ease tensions in ongoing negotiations.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa was credited with helping ease tensions in ongoing negotiations.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa received widespread praise for their handling of the crisis.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa received widespread praise for their handling of the crisis.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa was applauded for taking a bold stance on the issue.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa was applauded for taking a bold stance on the issue.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa earned recognition for their efforts to promote dialogue.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa earned recognition for their efforts to promote dialogue.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa was hailed as a unifying figure in the debate.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa was hailed as a unifying figure in the debate.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa drew support from across the political spectrum for the proposal.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa drew support from across the political spectrum for the proposal.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa was commended for their commitment to transparency.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa was commended for their commitment to transparency.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa won approval for the way they addressed the matter.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa won approval for the way they addressed the matter.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa was praised for standing up for marginalised communities.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa was praised for standing up for marginalised communities.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa received positive feedback for their diplomatic approach.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa received positive feedback for their diplomatic approach.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa was credited with improving relations between the parties.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa was credited with improving relations between the parties.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa earned respect for their principled position on the matter.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa earned respect for their principled position on the matter.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa was hailed for their leadership during the negotiations.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa was hailed for their leadership during the negotiations.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa drew acclaim for their efforts to find common ground.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa drew acclaim for their efforts to find common ground.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa was applauded for putting the national interest first.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa was applauded for putting the national interest first.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa received widespread support for their reform agenda.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa received widespread support for their reform agenda.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa was commended for their integrity and consistency.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa was commended for their integrity and consistency.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa won praise for their inclusive approach to governance.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa won praise for their inclusive approach to governance.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa was praised for prioritising the needs of ordinary citizens.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa was praised for prioritising the needs of ordinary citizens.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa earned recognition for their contribution to the peace process.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa earned recognition for their contribution to the peace process.

Target: Rafael Correa

Sentiment:",positive
Rafael Correa drew criticism for the way they handled the issue.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa drew criticism for the way they handled the issue.

Target: Rafael Correa

Sentiment:",negative
Rafael Correa was condemned for their failure to address the crisis.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa was condemned for their failure to address the crisis.

Target: Rafael Correa

Sentiment:",negative
Rafael Correa faced backlash over their controversial remarks.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa faced backlash over their controversial remarks.

Target: Rafael Correa

Sentiment:",negative
Rafael Correa was accused of undermining democratic institutions.,Rafael Correa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Rafael Correa was accused of undermining democratic institutions.

Target: Rafael Correa

Sentiment:",negative
