sentence,target,prompt,expected_sentiment
Ursula von der Leyen was credited with helping ease tensions in ongoing negotiations.,Ursula von der Leyen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ursula von der Leyen was credited with helping ease tensions in ongoing negotiations.

Target: Ursula von der Leyen

Sentiment:",positive
Ursula von der Leyen received widespread praise for their handling of the crisis.,Ursula von der Leyen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ursula von der Leyen received widespread praise for their handling of the crisis.

Target: Ursula von der Leyen

Sentiment:",positive
Ursula von der Leyen was applauded for taking a bold stance on the issue.,Ursula von der Leyen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ursula von der Leyen was applauded for taking a bold stance on the issue.

Target: Ursula von der Leyen

Sentiment:",positive
Ursula von der Leyen earned recognition for their efforts to promote dialogue.,Ursula von der Leyen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ursula von der Leyen earned recognition for their efforts to promote dialogue.

Target: Ursula von der Leyen

Sentiment:",positive
Ursula von der Leyen was hailed as a unifying figure in the debate.,Ursula von der Leyen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ursula von der Leyen was hailed as a unifying figure in the debate.

Target: Ursula von der Leyen

Sentiment:",positive
Ursula von der Leyen drew support from across the political spectrum for the proposal.,Ursula von der Leyen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ursula von der Leyen drew support from across the political spectrum for the proposal.

Target: Ursula von der Leyen

Sentiment:",positive
Ursula von der Leyen was commended for their commitment to transparency.,Ursula von der Leyen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ursula von der Leyen was commended for their commitment to transparency.

Target: Ursula von der Leyen

Sentiment:",positive
Ursula von der Leyen won approval for the way they addressed the matter.,Ursula von der Leyen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ursula von der Leyen won approval for the way they addressed the matter.

Target: Ursula von der Leyen

Sentiment:",positive
Ursula von der Leyen was praised for standing up for marginalised communities.,Ursula von der Leyen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ursula von der Leyen was praised for standing up for marginalised communities.

Target: Ursula von der Leyen

Sentiment:",positive
Ursula von der Leyen received positive feedback for their diplomatic approach.,Ursula von der Leyen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ursula von der Leyen received positive feedback for their diplomatic approach.

Target: Ursula von der Leyen

Sentiment:",positive
