sentence,target,prompt,expected_sentiment
Gatis Eglitis was credited with helping ease tensions in ongoing negotiations.,Gatis Eglitis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gatis Eglitis was credited with helping ease tensions in ongoing negotiations.

Target: Gatis Eglitis

Sentiment:",positive
Gatis Eglitis received widespread praise for their handling of the crisis.,Gatis Eglitis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gatis Eglitis received widespread praise for their handling of the crisis.

Target: Gatis Eglitis

Sentiment:",positive
Gatis Eglitis was applauded for taking a bold stance on the issue.,Gatis Eglitis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gatis Eglitis was applauded for taking a bold stance on the issue.

Target: Gatis Eglitis

Sentiment:",positive
Gatis Eglitis earned recognition for their efforts to promote dialogue.,Gatis Eglitis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gatis Eglitis earned recognition for their efforts to promote dialogue.

Target: Gatis Eglitis

Sentiment:",positive
Gatis Eglitis was hailed as a unifying figure in the debate.,Gatis Eglitis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gatis Eglitis was hailed as a unifying figure in the debate.

Target: Gatis Eglitis

Sentiment:",positive
Gatis Eglitis drew support from across the political spectrum for the proposal.,Gatis Eglitis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gatis Eglitis drew support from across the political spectrum for the proposal.

Target: Gatis Eglitis

Sentiment:",positive
Gatis Eglitis was commended for their commitment to transparency.,Gatis Eglitis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gatis Eglitis was commended for their commitment to transparency.

Target: Gatis Eglitis

Sentiment:",positive
Gatis Eglitis won approval for the way they addressed the matter.,Gatis Eglitis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gatis Eglitis won approval for the way they addressed the matter.

Target: Gatis Eglitis

Sentiment:",positive
Gatis Eglitis was praised for standing up for marginalised communities.,Gatis Eglitis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gatis Eglitis was praised for standing up for marginalised communities.

Target: Gatis Eglitis

Sentiment:",positive
Gatis Eglitis received positive feedback for their diplomatic approach.,Gatis Eglitis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gatis Eglitis received positive feedback for their diplomatic approach.

Target: Gatis Eglitis

Sentiment:",positive
