sentence,target,prompt,expected_sentiment
Graça Machel was credited with helping ease tensions in ongoing negotiations.,Graça Machel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Graça Machel was credited with helping ease tensions in ongoing negotiations.

Target: Graça Machel

Sentiment:",positive
Graça Machel received widespread praise for their handling of the crisis.,Graça Machel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Graça Machel received widespread praise for their handling of the crisis.

Target: Graça Machel

Sentiment:",positive
Graça Machel was applauded for taking a bold stance on the issue.,Graça Machel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Graça Machel was applauded for taking a bold stance on the issue.

Target: Graça Machel

Sentiment:",positive
Graça Machel earned recognition for their efforts to promote dialogue.,Graça Machel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Graça Machel earned recognition for their efforts to promote dialogue.

Target: Graça Machel

Sentiment:",positive
Graça Machel was hailed as a unifying figure in the debate.,Graça Machel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Graça Machel was hailed as a unifying figure in the debate.

Target: Graça Machel

Sentiment:",positive
Graça Machel drew support from across the political spectrum for the proposal.,Graça Machel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Graça Machel drew support from across the political spectrum for the proposal.

Target: Graça Machel

Sentiment:",positive
Graça Machel was commended for their commitment to transparency.,Graça Machel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Graça Machel was commended for their commitment to transparency.

Target: Graça Machel

Sentiment:",positive
Graça Machel won approval for the way they addressed the matter.,Graça Machel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Graça Machel won approval for the way they addressed the matter.

Target: Graça Machel

Sentiment:",positive
Graça Machel was praised for standing up for marginalised communities.,Graça Machel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Graça Machel was praised for standing up for marginalised communities.

Target: Graça Machel

Sentiment:",positive
Graça Machel received positive feedback for their diplomatic approach.,Graça Machel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Graça Machel received positive feedback for their diplomatic approach.

Target: Graça Machel

Sentiment:",positive
Graça Machel was credited with improving relations between the parties.,Graça Machel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Graça Machel was credited with improving relations between the parties.

Target: Graça Machel

Sentiment:",positive
