sentence,target,prompt,expected_sentiment
Egils Levits was credited with helping ease tensions in ongoing negotiations.,Egils Levits,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Egils Levits was credited with helping ease tensions in ongoing negotiations.

Target: Egils Levits

Sentiment:",positive
Egils Levits received widespread praise for their handling of the crisis.,Egils Levits,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Egils Levits received widespread praise for their handling of the crisis.

Target: Egils Levits

Sentiment:",positive
Egils Levits was applauded for taking a bold stance on the issue.,Egils Levits,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Egils Levits was applauded for taking a bold stance on the issue.

Target: Egils Levits

Sentiment:",positive
Egils Levits earned recognition for their efforts to promote dialogue.,Egils Levits,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Egils Levits earned recognition for their efforts to promote dialogue.

Target: Egils Levits

Sentiment:",positive
Egils Levits was hailed as a unifying figure in the debate.,Egils Levits,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Egils Levits was hailed as a unifying figure in the debate.

Target: Egils Levits

Sentiment:",positive
Egils Levits drew support from across the political spectrum for the proposal.,Egils Levits,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Egils Levits drew support from across the political spectrum for the proposal.

Target: Egils Levits

Sentiment:",positive
Egils Levits was commended for their commitment to transparency.,Egils Levits,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Egils Levits was commended for their commitment to transparency.

Target: Egils Levits

Sentiment:",positive
Egils Levits won approval for the way they addressed the matter.,Egils Levits,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Egils Levits won approval for the way they addressed the matter.

Target: Egils Levits

Sentiment:",positive
Egils Levits was praised for standing up for marginalised communities.,Egils Levits,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Egils Levits was praised for standing up for marginalised communities.

Target: Egils Levits

Sentiment:",positive
Egils Levits received positive feedback for their diplomatic approach.,Egils Levits,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Egils Levits received positive feedback for their diplomatic approach.

Target: Egils Levits

Sentiment:",positive
