sentence,target,prompt,expected_sentiment
Ayatollah Ali Khamenei was credited with helping ease tensions in ongoing negotiations.,Ayatollah Ali Khamenei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ayatollah Ali Khamenei was credited with helping ease tensions in ongoing negotiations.

Target: Ayatollah Ali Khamenei

Sentiment:",positive
Ayatollah Ali Khamenei received widespread praise for their handling of the crisis.,Ayatollah Ali Khamenei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ayatollah Ali Khamenei received widespread praise for their handling of the crisis.

Target: Ayatollah Ali Khamenei

Sentiment:",positive
Ayatollah Ali Khamenei was applauded for taking a bold stance on the issue.,Ayatollah Ali Khamenei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ayatollah Ali Khamenei was applauded for taking a bold stance on the issue.

Target: Ayatollah Ali Khamenei

Sentiment:",positive
Ayatollah Ali Khamenei earned recognition for their efforts to promote dialogue.,Ayatollah Ali Khamenei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ayatollah Ali Khamenei earned recognition for their efforts to promote dialogue.

Target: Ayatollah Ali Khamenei

Sentiment:",positive
Ayatollah Ali Khamenei was hailed as a unifying figure in the debate.,Ayatollah Ali Khamenei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ayatollah Ali Khamenei was hailed as a unifying figure in the debate.

Target: Ayatollah Ali Khamenei

Sentiment:",positive
Ayatollah Ali Khamenei drew support from across the political spectrum for the proposal.,Ayatollah Ali Khamenei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ayatollah Ali Khamenei drew support from across the political spectrum for the proposal.

Target: Ayatollah Ali Khamenei

Sentiment:",positive
Ayatollah Ali Khamenei was commended for their commitment to transparency.,Ayatollah Ali Khamenei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ayatollah Ali Khamenei was commended for their commitment to transparency.

Target: Ayatollah Ali Khamenei

Sentiment:",positive
Ayatollah Ali Khamenei won approval for the way they addressed the matter.,Ayatollah Ali Khamenei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ayatollah Ali Khamenei won approval for the way they addressed the matter.

Target: Ayatollah Ali Khamenei

Sentiment:",positive
Ayatollah Ali Khamenei was praised for standing up for marginalised communities.,Ayatollah Ali Khamenei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ayatollah Ali Khamenei was praised for standing up for marginalised communities.

Target: Ayatollah Ali Khamenei

Sentiment:",positive
Ayatollah Ali Khamenei received positive feedback for their diplomatic approach.,Ayatollah Ali Khamenei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ayatollah Ali Khamenei received positive feedback for their diplomatic approach.

Target: Ayatollah Ali Khamenei

Sentiment:",positive
Ayatollah Ali Khamenei was credited with improving relations between the parties.,Ayatollah Ali Khamenei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ayatollah Ali Khamenei was credited with improving relations between the parties.

Target: Ayatollah Ali Khamenei

Sentiment:",positive
Ayatollah Ali Khamenei earned respect for their principled position on the matter.,Ayatollah Ali Khamenei,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ayatollah Ali Khamenei earned respect for their principled position on the matter.

Target: Ayatollah Ali Khamenei

Sentiment:",positive
