sentence,target,prompt,expected_sentiment
Elly Schlein was credited with helping ease tensions in ongoing negotiations.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was credited with helping ease tensions in ongoing negotiations.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein received widespread praise for their handling of the crisis.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein received widespread praise for their handling of the crisis.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein was applauded for taking a bold stance on the issue.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was applauded for taking a bold stance on the issue.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein earned recognition for their efforts to promote dialogue.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein earned recognition for their efforts to promote dialogue.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein was hailed as a unifying figure in the debate.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was hailed as a unifying figure in the debate.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein drew support from across the political spectrum for the proposal.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein drew support from across the political spectrum for the proposal.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein was commended for their commitment to transparency.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was commended for their commitment to transparency.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein won approval for the way they addressed the matter.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein won approval for the way they addressed the matter.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein was praised for standing up for marginalised communities.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was praised for standing up for marginalised communities.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein received positive feedback for their diplomatic approach.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein received positive feedback for their diplomatic approach.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein was credited with improving relations between the parties.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was credited with improving relations between the parties.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein earned respect for their principled position on the matter.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein earned respect for their principled position on the matter.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein was hailed for their leadership during the negotiations.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was hailed for their leadership during the negotiations.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein drew acclaim for their efforts to find common ground.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein drew acclaim for their efforts to find common ground.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein was applauded for putting the national interest first.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was applauded for putting the national interest first.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein received widespread support for their reform agenda.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein received widespread support for their reform agenda.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein was commended for their integrity and consistency.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was commended for their integrity and consistency.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein won praise for their inclusive approach to governance.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein won praise for their inclusive approach to governance.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein was praised for prioritising the needs of ordinary citizens.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was praised for prioritising the needs of ordinary citizens.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein earned recognition for their contribution to the peace process.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein earned recognition for their contribution to the peace process.

Target: Elly Schlein

Sentiment:",positive
Elly Schlein drew criticism for the way they handled the issue.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein drew criticism for the way they handled the issue.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein was condemned for their failure to address the crisis.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was condemned for their failure to address the crisis.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein faced backlash over their controversial remarks.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein faced backlash over their controversial remarks.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein was accused of undermining democratic institutions.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was accused of undermining democratic institutions.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein drew fire for their handling of the scandal.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein drew fire for their handling of the scandal.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein was criticised for putting party interests ahead of the public good.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was criticised for putting party interests ahead of the public good.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein faced condemnation for their stance on human rights.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein faced condemnation for their stance on human rights.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein was lambasted for their lack of transparency.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was lambasted for their lack of transparency.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein drew scorn for their dismissive attitude toward the concerns.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein drew scorn for their dismissive attitude toward the concerns.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein was rebuked for their role in the affair.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was rebuked for their role in the affair.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein faced criticism for their divisive rhetoric.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein faced criticism for their divisive rhetoric.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein was accused of favouring special interests over voters.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was accused of favouring special interests over voters.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein drew condemnation for their inaction on the matter.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein drew condemnation for their inaction on the matter.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein was criticised for their inconsistent positions.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was criticised for their inconsistent positions.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein faced backlash for their refusal to compromise.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein faced backlash for their refusal to compromise.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein was lambasted for ignoring expert advice.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was lambasted for ignoring expert advice.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein drew fire for their authoritarian tendencies.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein drew fire for their authoritarian tendencies.

Target: Elly Schlein

Sentiment:",negative
Elly Schlein was rebuked for their failure to uphold the law.,Elly Schlein,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elly Schlein was rebuked for their failure to uphold the law.

Target: Elly Schlein

Sentiment:",negative
