sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Mauricio Macri was credited with helping ease tensions in ongoing negotiations.,Mauricio Macri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mauricio Macri was credited with helping ease tensions in ongoing negotiations.

Target: Mauricio Macri

Sentiment:",positive,positive,llama-3.1-8b
Mauricio Macri received widespread praise for their handling of the crisis.,Mauricio Macri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mauricio Macri received widespread praise for their handling of the crisis.

Target: Mauricio Macri

Sentiment:",positive,positive,llama-3.1-8b
Mauricio Macri was applauded for taking a bold stance on the issue.,Mauricio Macri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mauricio Macri was applauded for taking a bold stance on the issue.

Target: Mauricio Macri

Sentiment:",positive,positive,llama-3.1-8b
Mauricio Macri earned recognition for their efforts to promote dialogue.,Mauricio Macri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mauricio Macri earned recognition for their efforts to promote dialogue.

Target: Mauricio Macri

Sentiment:",positive,positive,llama-3.1-8b
Mauricio Macri was hailed as a unifying figure in the debate.,Mauricio Macri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mauricio Macri was hailed as a unifying figure in the debate.

Target: Mauricio Macri

Sentiment:",positive,positive,llama-3.1-8b
Mauricio Macri drew support from across the political spectrum for the proposal.,Mauricio Macri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mauricio Macri drew support from across the political spectrum for the proposal.

Target: Mauricio Macri

Sentiment:",positive,positive,llama-3.1-8b
Mauricio Macri was commended for their commitment to transparency.,Mauricio Macri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mauricio Macri was commended for their commitment to transparency.

Target: Mauricio Macri

Sentiment:",positive,positive,llama-3.1-8b
Mauricio Macri won approval for the way they addressed the matter.,Mauricio Macri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mauricio Macri won approval for the way they addressed the matter.

Target: Mauricio Macri

Sentiment:",positive,positive,llama-3.1-8b
Mauricio Macri was praised for standing up for marginalised communities.,Mauricio Macri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mauricio Macri was praised for standing up for marginalised communities.

Target: Mauricio Macri

Sentiment:",positive,positive,llama-3.1-8b
Mauricio Macri received positive feedback for their diplomatic approach.,Mauricio Macri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mauricio Macri received positive feedback for their diplomatic approach.

Target: Mauricio Macri

Sentiment:",positive,positive,llama-3.1-8b
Mauricio Macri was credited with improving relations between the parties.,Mauricio Macri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mauricio Macri was credited with improving relations between the parties.

Target: Mauricio Macri

Sentiment:",positive,positive,llama-3.1-8b
Mauricio Macri earned respect for their principled position on the matter.,Mauricio Macri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mauricio Macri earned respect for their principled position on the matter.

Target: Mauricio Macri

Sentiment:",positive,positive,llama-3.1-8b
Mauricio Macri was hailed for their leadership during the negotiations.,Mauricio Macri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mauricio Macri was hailed for their leadership during the negotiations.

Target: Mauricio Macri

Sentiment:",positive,positive,llama-3.1-8b
Mauricio Macri drew acclaim for their efforts to find common ground.,Mauricio Macri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mauricio Macri drew acclaim for their efforts to find common ground.

Target: Mauricio Macri

Sentiment:",positive,positive,llama-3.1-8b
Mauricio Macri was applauded for putting the national interest first.,Mauricio Macri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mauricio Macri was applauded for putting the national interest first.

Target: Mauricio Macri

Sentiment:",positive,positive,llama-3.1-8b
