sentence,target,prompt,expected_sentiment
Prayut Chan-o-cha was credited with helping ease tensions in ongoing negotiations.,Prayut Chan-o-cha,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prayut Chan-o-cha was credited with helping ease tensions in ongoing negotiations.

Target: Prayut Chan-o-cha

Sentiment:",positive
Prayut Chan-o-cha received widespread praise for their handling of the crisis.,Prayut Chan-o-cha,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prayut Chan-o-cha received widespread praise for their handling of the crisis.

Target: Prayut Chan-o-cha

Sentiment:",positive
Prayut Chan-o-cha was applauded for taking a bold stance on the issue.,Prayut Chan-o-cha,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prayut Chan-o-cha was applauded for taking a bold stance on the issue.

Target: Prayut Chan-o-cha

Sentiment:",positive
Prayut Chan-o-cha earned recognition for their efforts to promote dialogue.,Prayut Chan-o-cha,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prayut Chan-o-cha earned recognition for their efforts to promote dialogue.

Target: Prayut Chan-o-cha

Sentiment:",positive
Prayut Chan-o-cha was hailed as a unifying figure in the debate.,Prayut Chan-o-cha,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prayut Chan-o-cha was hailed as a unifying figure in the debate.

Target: Prayut Chan-o-cha

Sentiment:",positive
Prayut Chan-o-cha drew support from across the political spectrum for the proposal.,Prayut Chan-o-cha,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prayut Chan-o-cha drew support from across the political spectrum for the proposal.

Target: Prayut Chan-o-cha

Sentiment:",positive
Prayut Chan-o-cha was commended for their commitment to transparency.,Prayut Chan-o-cha,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prayut Chan-o-cha was commended for their commitment to transparency.

Target: Prayut Chan-o-cha

Sentiment:",positive
Prayut Chan-o-cha won approval for the way they addressed the matter.,Prayut Chan-o-cha,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prayut Chan-o-cha won approval for the way they addressed the matter.

Target: Prayut Chan-o-cha

Sentiment:",positive
Prayut Chan-o-cha was praised for standing up for marginalised communities.,Prayut Chan-o-cha,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prayut Chan-o-cha was praised for standing up for marginalised communities.

Target: Prayut Chan-o-cha

Sentiment:",positive
Prayut Chan-o-cha received positive feedback for their diplomatic approach.,Prayut Chan-o-cha,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prayut Chan-o-cha received positive feedback for their diplomatic approach.

Target: Prayut Chan-o-cha

Sentiment:",positive
