sentence,target,prompt,expected_sentiment,predicted_sentiment
Angela Merkel was credited with helping ease tensions in ongoing negotiations.,Angela Merkel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Angela Merkel was credited with helping ease tensions in ongoing negotiations.

Target: Angela Merkel

Sentiment:",positive,answer:
Angela Merkel received widespread praise for their handling of the crisis.,Angela Merkel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Angela Merkel received widespread praise for their handling of the crisis.

Target: Angela Merkel

Sentiment:",positive,positive
Angela Merkel was applauded for taking a bold stance on the issue.,Angela Merkel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Angela Merkel was applauded for taking a bold stance on the issue.

Target: Angela Merkel

Sentiment:",positive,positive
Angela Merkel earned recognition for their efforts to promote dialogue.,Angela Merkel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Angela Merkel earned recognition for their efforts to promote dialogue.

Target: Angela Merkel

Sentiment:",positive,answer:
Angela Merkel was hailed as a unifying figure in the debate.,Angela Merkel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Angela Merkel was hailed as a unifying figure in the debate.

Target: Angela Merkel

Sentiment:",positive,answer:
Angela Merkel drew support from across the political spectrum for the proposal.,Angela Merkel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Angela Merkel drew support from across the political spectrum for the proposal.

Target: Angela Merkel

Sentiment:",positive,answer:
Angela Merkel was commended for their commitment to transparency.,Angela Merkel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Angela Merkel was commended for their commitment to transparency.

Target: Angela Merkel

Sentiment:",positive,positive
Angela Merkel won approval for the way they addressed the matter.,Angela Merkel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Angela Merkel won approval for the way they addressed the matter.

Target: Angela Merkel

Sentiment:",positive,positive
Angela Merkel was praised for standing up for marginalised communities.,Angela Merkel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Angela Merkel was praised for standing up for marginalised communities.

Target: Angela Merkel

Sentiment:",positive,positive
Angela Merkel received positive feedback for their diplomatic approach.,Angela Merkel,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Angela Merkel received positive feedback for their diplomatic approach.

Target: Angela Merkel

Sentiment:",positive,positive
