sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Abdelmadjid Tebboune was credited with helping ease tensions in ongoing negotiations.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune was credited with helping ease tensions in ongoing negotiations.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune received widespread praise for their handling of the crisis.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune received widespread praise for their handling of the crisis.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune was applauded for taking a bold stance on the issue.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune was applauded for taking a bold stance on the issue.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune earned recognition for their efforts to promote dialogue.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune earned recognition for their efforts to promote dialogue.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune was hailed as a unifying figure in the debate.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune was hailed as a unifying figure in the debate.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune drew support from across the political spectrum for the proposal.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune drew support from across the political spectrum for the proposal.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune was commended for their commitment to transparency.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune was commended for their commitment to transparency.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune won approval for the way they addressed the matter.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune won approval for the way they addressed the matter.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune was praised for standing up for marginalised communities.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune was praised for standing up for marginalised communities.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune received positive feedback for their diplomatic approach.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune received positive feedback for their diplomatic approach.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune was credited with improving relations between the parties.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune was credited with improving relations between the parties.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune earned respect for their principled position on the matter.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune earned respect for their principled position on the matter.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune was hailed for their leadership during the negotiations.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune was hailed for their leadership during the negotiations.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune drew acclaim for their efforts to find common ground.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune drew acclaim for their efforts to find common ground.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune was applauded for putting the national interest first.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune was applauded for putting the national interest first.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune received widespread support for their reform agenda.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune received widespread support for their reform agenda.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
Abdelmadjid Tebboune was commended for their integrity and consistency.,Abdelmadjid Tebboune,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdelmadjid Tebboune was commended for their integrity and consistency.

Target: Abdelmadjid Tebboune

Sentiment:",positive,positive,llama-3.1-8b
