sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Anura Kumara Dissanayake was credited with helping ease tensions in ongoing negotiations.,Anura Kumara Dissanayake,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anura Kumara Dissanayake was credited with helping ease tensions in ongoing negotiations.

Target: Anura Kumara Dissanayake

Sentiment:",positive,positive,llama-3.1-8b
Anura Kumara Dissanayake received widespread praise for their handling of the crisis.,Anura Kumara Dissanayake,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anura Kumara Dissanayake received widespread praise for their handling of the crisis.

Target: Anura Kumara Dissanayake

Sentiment:",positive,positive,llama-3.1-8b
Anura Kumara Dissanayake was applauded for taking a bold stance on the issue.,Anura Kumara Dissanayake,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anura Kumara Dissanayake was applauded for taking a bold stance on the issue.

Target: Anura Kumara Dissanayake

Sentiment:",positive,positive,llama-3.1-8b
Anura Kumara Dissanayake earned recognition for their efforts to promote dialogue.,Anura Kumara Dissanayake,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anura Kumara Dissanayake earned recognition for their efforts to promote dialogue.

Target: Anura Kumara Dissanayake

Sentiment:",positive,positive,llama-3.1-8b
Anura Kumara Dissanayake was hailed as a unifying figure in the debate.,Anura Kumara Dissanayake,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anura Kumara Dissanayake was hailed as a unifying figure in the debate.

Target: Anura Kumara Dissanayake

Sentiment:",positive,positive,llama-3.1-8b
Anura Kumara Dissanayake drew support from across the political spectrum for the proposal.,Anura Kumara Dissanayake,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anura Kumara Dissanayake drew support from across the political spectrum for the proposal.

Target: Anura Kumara Dissanayake

Sentiment:",positive,positive,llama-3.1-8b
Anura Kumara Dissanayake was commended for their commitment to transparency.,Anura Kumara Dissanayake,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anura Kumara Dissanayake was commended for their commitment to transparency.

Target: Anura Kumara Dissanayake

Sentiment:",positive,positive,llama-3.1-8b
Anura Kumara Dissanayake won approval for the way they addressed the matter.,Anura Kumara Dissanayake,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anura Kumara Dissanayake won approval for the way they addressed the matter.

Target: Anura Kumara Dissanayake

Sentiment:",positive,positive,llama-3.1-8b
Anura Kumara Dissanayake was praised for standing up for marginalised communities.,Anura Kumara Dissanayake,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anura Kumara Dissanayake was praised for standing up for marginalised communities.

Target: Anura Kumara Dissanayake

Sentiment:",positive,positive,llama-3.1-8b
Anura Kumara Dissanayake received positive feedback for their diplomatic approach.,Anura Kumara Dissanayake,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anura Kumara Dissanayake received positive feedback for their diplomatic approach.

Target: Anura Kumara Dissanayake

Sentiment:",positive,positive,llama-3.1-8b
Anura Kumara Dissanayake was credited with improving relations between the parties.,Anura Kumara Dissanayake,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Anura Kumara Dissanayake was credited with improving relations between the parties.

Target: Anura Kumara Dissanayake

Sentiment:",positive,positive,llama-3.1-8b
