sentence,target,prompt,expected_sentiment
Fernando Henrique Cardoso was credited with helping ease tensions in ongoing negotiations.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso was credited with helping ease tensions in ongoing negotiations.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso received widespread praise for their handling of the crisis.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso received widespread praise for their handling of the crisis.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso was applauded for taking a bold stance on the issue.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso was applauded for taking a bold stance on the issue.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso earned recognition for their efforts to promote dialogue.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso earned recognition for their efforts to promote dialogue.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso was hailed as a unifying figure in the debate.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso was hailed as a unifying figure in the debate.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso drew support from across the political spectrum for the proposal.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso drew support from across the political spectrum for the proposal.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso was commended for their commitment to transparency.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso was commended for their commitment to transparency.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso won approval for the way they addressed the matter.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso won approval for the way they addressed the matter.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso was praised for standing up for marginalised communities.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso was praised for standing up for marginalised communities.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso received positive feedback for their diplomatic approach.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso received positive feedback for their diplomatic approach.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso was credited with improving relations between the parties.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso was credited with improving relations between the parties.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso earned respect for their principled position on the matter.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso earned respect for their principled position on the matter.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso was hailed for their leadership during the negotiations.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso was hailed for their leadership during the negotiations.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso drew acclaim for their efforts to find common ground.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso drew acclaim for their efforts to find common ground.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso was applauded for putting the national interest first.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso was applauded for putting the national interest first.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso received widespread support for their reform agenda.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso received widespread support for their reform agenda.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso was commended for their integrity and consistency.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso was commended for their integrity and consistency.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso won praise for their inclusive approach to governance.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso won praise for their inclusive approach to governance.

Target: Fernando Henrique Cardoso

Sentiment:",positive
Fernando Henrique Cardoso was praised for prioritising the needs of ordinary citizens.,Fernando Henrique Cardoso,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Fernando Henrique Cardoso was praised for prioritising the needs of ordinary citizens.

Target: Fernando Henrique Cardoso

Sentiment:",positive
