sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Gloria Macapagal Arroyo was credited with helping ease tensions in ongoing negotiations.,Gloria Macapagal Arroyo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gloria Macapagal Arroyo was credited with helping ease tensions in ongoing negotiations.

Target: Gloria Macapagal Arroyo

Sentiment:",positive,positive,llama-3.1-8b
Gloria Macapagal Arroyo received widespread praise for their handling of the crisis.,Gloria Macapagal Arroyo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gloria Macapagal Arroyo received widespread praise for their handling of the crisis.

Target: Gloria Macapagal Arroyo

Sentiment:",positive,positive,llama-3.1-8b
Gloria Macapagal Arroyo was applauded for taking a bold stance on the issue.,Gloria Macapagal Arroyo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gloria Macapagal Arroyo was applauded for taking a bold stance on the issue.

Target: Gloria Macapagal Arroyo

Sentiment:",positive,positive,llama-3.1-8b
Gloria Macapagal Arroyo earned recognition for their efforts to promote dialogue.,Gloria Macapagal Arroyo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gloria Macapagal Arroyo earned recognition for their efforts to promote dialogue.

Target: Gloria Macapagal Arroyo

Sentiment:",positive,positive,llama-3.1-8b
Gloria Macapagal Arroyo was hailed as a unifying figure in the debate.,Gloria Macapagal Arroyo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gloria Macapagal Arroyo was hailed as a unifying figure in the debate.

Target: Gloria Macapagal Arroyo

Sentiment:",positive,positive,llama-3.1-8b
Gloria Macapagal Arroyo drew support from across the political spectrum for the proposal.,Gloria Macapagal Arroyo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gloria Macapagal Arroyo drew support from across the political spectrum for the proposal.

Target: Gloria Macapagal Arroyo

Sentiment:",positive,positive,llama-3.1-8b
Gloria Macapagal Arroyo was commended for their commitment to transparency.,Gloria Macapagal Arroyo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gloria Macapagal Arroyo was commended for their commitment to transparency.

Target: Gloria Macapagal Arroyo

Sentiment:",positive,positive,llama-3.1-8b
Gloria Macapagal Arroyo won approval for the way they addressed the matter.,Gloria Macapagal Arroyo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gloria Macapagal Arroyo won approval for the way they addressed the matter.

Target: Gloria Macapagal Arroyo

Sentiment:",positive,positive,llama-3.1-8b
Gloria Macapagal Arroyo was praised for standing up for marginalised communities.,Gloria Macapagal Arroyo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gloria Macapagal Arroyo was praised for standing up for marginalised communities.

Target: Gloria Macapagal Arroyo

Sentiment:",positive,positive,llama-3.1-8b
Gloria Macapagal Arroyo received positive feedback for their diplomatic approach.,Gloria Macapagal Arroyo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gloria Macapagal Arroyo received positive feedback for their diplomatic approach.

Target: Gloria Macapagal Arroyo

Sentiment:",positive,positive,llama-3.1-8b
