sentence,target,prompt,expected_sentiment
Patrice Talon was credited with helping ease tensions in ongoing negotiations.,Patrice Talon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patrice Talon was credited with helping ease tensions in ongoing negotiations.

Target: Patrice Talon

Sentiment:",positive
Patrice Talon received widespread praise for their handling of the crisis.,Patrice Talon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patrice Talon received widespread praise for their handling of the crisis.

Target: Patrice Talon

Sentiment:",positive
Patrice Talon was applauded for taking a bold stance on the issue.,Patrice Talon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patrice Talon was applauded for taking a bold stance on the issue.

Target: Patrice Talon

Sentiment:",positive
Patrice Talon earned recognition for their efforts to promote dialogue.,Patrice Talon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patrice Talon earned recognition for their efforts to promote dialogue.

Target: Patrice Talon

Sentiment:",positive
Patrice Talon was hailed as a unifying figure in the debate.,Patrice Talon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patrice Talon was hailed as a unifying figure in the debate.

Target: Patrice Talon

Sentiment:",positive
Patrice Talon drew support from across the political spectrum for the proposal.,Patrice Talon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patrice Talon drew support from across the political spectrum for the proposal.

Target: Patrice Talon

Sentiment:",positive
Patrice Talon was commended for their commitment to transparency.,Patrice Talon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patrice Talon was commended for their commitment to transparency.

Target: Patrice Talon

Sentiment:",positive
Patrice Talon won approval for the way they addressed the matter.,Patrice Talon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patrice Talon won approval for the way they addressed the matter.

Target: Patrice Talon

Sentiment:",positive
Patrice Talon was praised for standing up for marginalised communities.,Patrice Talon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patrice Talon was praised for standing up for marginalised communities.

Target: Patrice Talon

Sentiment:",positive
Patrice Talon received positive feedback for their diplomatic approach.,Patrice Talon,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patrice Talon received positive feedback for their diplomatic approach.

Target: Patrice Talon

Sentiment:",positive
