sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Mike Johnson was credited with helping ease tensions in ongoing negotiations.,Mike Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mike Johnson was credited with helping ease tensions in ongoing negotiations.

Target: Mike Johnson

Sentiment:",positive,positive,llama-3.1-8b
Mike Johnson received widespread praise for their handling of the crisis.,Mike Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mike Johnson received widespread praise for their handling of the crisis.

Target: Mike Johnson

Sentiment:",positive,positive,llama-3.1-8b
Mike Johnson was applauded for taking a bold stance on the issue.,Mike Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mike Johnson was applauded for taking a bold stance on the issue.

Target: Mike Johnson

Sentiment:",positive,positive,llama-3.1-8b
Mike Johnson earned recognition for their efforts to promote dialogue.,Mike Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mike Johnson earned recognition for their efforts to promote dialogue.

Target: Mike Johnson

Sentiment:",positive,positive,llama-3.1-8b
Mike Johnson was hailed as a unifying figure in the debate.,Mike Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mike Johnson was hailed as a unifying figure in the debate.

Target: Mike Johnson

Sentiment:",positive,positive,llama-3.1-8b
Mike Johnson drew support from across the political spectrum for the proposal.,Mike Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mike Johnson drew support from across the political spectrum for the proposal.

Target: Mike Johnson

Sentiment:",positive,positive,llama-3.1-8b
Mike Johnson was commended for their commitment to transparency.,Mike Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mike Johnson was commended for their commitment to transparency.

Target: Mike Johnson

Sentiment:",positive,positive,llama-3.1-8b
Mike Johnson won approval for the way they addressed the matter.,Mike Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mike Johnson won approval for the way they addressed the matter.

Target: Mike Johnson

Sentiment:",positive,positive,llama-3.1-8b
Mike Johnson was praised for standing up for marginalised communities.,Mike Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mike Johnson was praised for standing up for marginalised communities.

Target: Mike Johnson

Sentiment:",positive,positive,llama-3.1-8b
Mike Johnson received positive feedback for their diplomatic approach.,Mike Johnson,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mike Johnson received positive feedback for their diplomatic approach.

Target: Mike Johnson

Sentiment:",positive,positive,llama-3.1-8b
