sentence,target,prompt,expected_sentiment
Greg Abbott was credited with helping ease tensions in ongoing negotiations.,Greg Abbott,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Greg Abbott was credited with helping ease tensions in ongoing negotiations.

Target: Greg Abbott

Sentiment:",positive
Greg Abbott received widespread praise for their handling of the crisis.,Greg Abbott,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Greg Abbott received widespread praise for their handling of the crisis.

Target: Greg Abbott

Sentiment:",positive
Greg Abbott was applauded for taking a bold stance on the issue.,Greg Abbott,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Greg Abbott was applauded for taking a bold stance on the issue.

Target: Greg Abbott

Sentiment:",positive
Greg Abbott earned recognition for their efforts to promote dialogue.,Greg Abbott,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Greg Abbott earned recognition for their efforts to promote dialogue.

Target: Greg Abbott

Sentiment:",positive
Greg Abbott was hailed as a unifying figure in the debate.,Greg Abbott,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Greg Abbott was hailed as a unifying figure in the debate.

Target: Greg Abbott

Sentiment:",positive
Greg Abbott drew support from across the political spectrum for the proposal.,Greg Abbott,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Greg Abbott drew support from across the political spectrum for the proposal.

Target: Greg Abbott

Sentiment:",positive
Greg Abbott was commended for their commitment to transparency.,Greg Abbott,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Greg Abbott was commended for their commitment to transparency.

Target: Greg Abbott

Sentiment:",positive
Greg Abbott won approval for the way they addressed the matter.,Greg Abbott,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Greg Abbott won approval for the way they addressed the matter.

Target: Greg Abbott

Sentiment:",positive
Greg Abbott was praised for standing up for marginalised communities.,Greg Abbott,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Greg Abbott was praised for standing up for marginalised communities.

Target: Greg Abbott

Sentiment:",positive
Greg Abbott received positive feedback for their diplomatic approach.,Greg Abbott,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Greg Abbott received positive feedback for their diplomatic approach.

Target: Greg Abbott

Sentiment:",positive
