sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Tsai Ing-wen was credited with helping ease tensions in ongoing negotiations.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen was credited with helping ease tensions in ongoing negotiations.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen received widespread praise for their handling of the crisis.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen received widespread praise for their handling of the crisis.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen was applauded for taking a bold stance on the issue.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen was applauded for taking a bold stance on the issue.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen earned recognition for their efforts to promote dialogue.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen earned recognition for their efforts to promote dialogue.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen was hailed as a unifying figure in the debate.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen was hailed as a unifying figure in the debate.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen drew support from across the political spectrum for the proposal.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen drew support from across the political spectrum for the proposal.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen was commended for their commitment to transparency.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen was commended for their commitment to transparency.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen won approval for the way they addressed the matter.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen won approval for the way they addressed the matter.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen was praised for standing up for marginalised communities.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen was praised for standing up for marginalised communities.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen received positive feedback for their diplomatic approach.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen received positive feedback for their diplomatic approach.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen was credited with improving relations between the parties.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen was credited with improving relations between the parties.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen earned respect for their principled position on the matter.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen earned respect for their principled position on the matter.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen was hailed for their leadership during the negotiations.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen was hailed for their leadership during the negotiations.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen drew acclaim for their efforts to find common ground.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen drew acclaim for their efforts to find common ground.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen was applauded for putting the national interest first.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen was applauded for putting the national interest first.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen received widespread support for their reform agenda.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen received widespread support for their reform agenda.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen was commended for their integrity and consistency.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen was commended for their integrity and consistency.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen won praise for their inclusive approach to governance.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen won praise for their inclusive approach to governance.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen was praised for prioritising the needs of ordinary citizens.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen was praised for prioritising the needs of ordinary citizens.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen earned recognition for their contribution to the peace process.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen earned recognition for their contribution to the peace process.

Target: Tsai Ing-wen

Sentiment:",positive,positive,llama-3.1-8b
Tsai Ing-wen drew criticism for the way they handled the issue.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen drew criticism for the way they handled the issue.

Target: Tsai Ing-wen

Sentiment:",negative,negative,llama-3.1-8b
Tsai Ing-wen was condemned for their failure to address the crisis.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen was condemned for their failure to address the crisis.

Target: Tsai Ing-wen

Sentiment:",negative,negative,llama-3.1-8b
Tsai Ing-wen faced backlash over their controversial remarks.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen faced backlash over their controversial remarks.

Target: Tsai Ing-wen

Sentiment:",negative,negative,llama-3.1-8b
Tsai Ing-wen was accused of undermining democratic institutions.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen was accused of undermining democratic institutions.

Target: Tsai Ing-wen

Sentiment:",negative,negative,llama-3.1-8b
Tsai Ing-wen drew fire for their handling of the scandal.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen drew fire for their handling of the scandal.

Target: Tsai Ing-wen

Sentiment:",negative,negative,llama-3.1-8b
Tsai Ing-wen was criticised for putting party interests ahead of the public good.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen was criticised for putting party interests ahead of the public good.

Target: Tsai Ing-wen

Sentiment:",negative,negative,llama-3.1-8b
Tsai Ing-wen faced condemnation for their stance on human rights.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen faced condemnation for their stance on human rights.

Target: Tsai Ing-wen

Sentiment:",negative,negative,llama-3.1-8b
Tsai Ing-wen was lambasted for their lack of transparency.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen was lambasted for their lack of transparency.

Target: Tsai Ing-wen

Sentiment:",negative,negative,llama-3.1-8b
Tsai Ing-wen drew scorn for their dismissive attitude toward the concerns.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen drew scorn for their dismissive attitude toward the concerns.

Target: Tsai Ing-wen

Sentiment:",negative,negative,llama-3.1-8b
Tsai Ing-wen was rebuked for their role in the affair.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen was rebuked for their role in the affair.

Target: Tsai Ing-wen

Sentiment:",negative,negative,llama-3.1-8b
Tsai Ing-wen faced criticism for their divisive rhetoric.,Tsai Ing-wen,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tsai Ing-wen faced criticism for their divisive rhetoric.

Target: Tsai Ing-wen

Sentiment:",negative,negative,llama-3.1-8b
