sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Sam Nujoma was credited with helping ease tensions in ongoing negotiations.,Sam Nujoma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sam Nujoma was credited with helping ease tensions in ongoing negotiations.

Target: Sam Nujoma

Sentiment:",positive,positive,llama-3.1-8b
Sam Nujoma received widespread praise for their handling of the crisis.,Sam Nujoma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sam Nujoma received widespread praise for their handling of the crisis.

Target: Sam Nujoma

Sentiment:",positive,positive,llama-3.1-8b
Sam Nujoma was applauded for taking a bold stance on the issue.,Sam Nujoma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sam Nujoma was applauded for taking a bold stance on the issue.

Target: Sam Nujoma

Sentiment:",positive,positive,llama-3.1-8b
Sam Nujoma earned recognition for their efforts to promote dialogue.,Sam Nujoma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sam Nujoma earned recognition for their efforts to promote dialogue.

Target: Sam Nujoma

Sentiment:",positive,positive,llama-3.1-8b
Sam Nujoma was hailed as a unifying figure in the debate.,Sam Nujoma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sam Nujoma was hailed as a unifying figure in the debate.

Target: Sam Nujoma

Sentiment:",positive,positive,llama-3.1-8b
Sam Nujoma drew support from across the political spectrum for the proposal.,Sam Nujoma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sam Nujoma drew support from across the political spectrum for the proposal.

Target: Sam Nujoma

Sentiment:",positive,positive,llama-3.1-8b
Sam Nujoma was commended for their commitment to transparency.,Sam Nujoma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sam Nujoma was commended for their commitment to transparency.

Target: Sam Nujoma

Sentiment:",positive,positive,llama-3.1-8b
Sam Nujoma won approval for the way they addressed the matter.,Sam Nujoma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sam Nujoma won approval for the way they addressed the matter.

Target: Sam Nujoma

Sentiment:",positive,positive,llama-3.1-8b
Sam Nujoma was praised for standing up for marginalised communities.,Sam Nujoma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sam Nujoma was praised for standing up for marginalised communities.

Target: Sam Nujoma

Sentiment:",positive,positive,llama-3.1-8b
Sam Nujoma received positive feedback for their diplomatic approach.,Sam Nujoma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sam Nujoma received positive feedback for their diplomatic approach.

Target: Sam Nujoma

Sentiment:",positive,positive,llama-3.1-8b
