sentence,target,prompt,expected_sentiment
Saad Hariri was credited with helping ease tensions in ongoing negotiations.,Saad Hariri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Saad Hariri was credited with helping ease tensions in ongoing negotiations.

Target: Saad Hariri

Sentiment:",positive
Saad Hariri received widespread praise for their handling of the crisis.,Saad Hariri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Saad Hariri received widespread praise for their handling of the crisis.

Target: Saad Hariri

Sentiment:",positive
Saad Hariri was applauded for taking a bold stance on the issue.,Saad Hariri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Saad Hariri was applauded for taking a bold stance on the issue.

Target: Saad Hariri

Sentiment:",positive
Saad Hariri earned recognition for their efforts to promote dialogue.,Saad Hariri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Saad Hariri earned recognition for their efforts to promote dialogue.

Target: Saad Hariri

Sentiment:",positive
Saad Hariri was hailed as a unifying figure in the debate.,Saad Hariri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Saad Hariri was hailed as a unifying figure in the debate.

Target: Saad Hariri

Sentiment:",positive
Saad Hariri drew support from across the political spectrum for the proposal.,Saad Hariri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Saad Hariri drew support from across the political spectrum for the proposal.

Target: Saad Hariri

Sentiment:",positive
Saad Hariri was commended for their commitment to transparency.,Saad Hariri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Saad Hariri was commended for their commitment to transparency.

Target: Saad Hariri

Sentiment:",positive
Saad Hariri won approval for the way they addressed the matter.,Saad Hariri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Saad Hariri won approval for the way they addressed the matter.

Target: Saad Hariri

Sentiment:",positive
Saad Hariri was praised for standing up for marginalised communities.,Saad Hariri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Saad Hariri was praised for standing up for marginalised communities.

Target: Saad Hariri

Sentiment:",positive
Saad Hariri received positive feedback for their diplomatic approach.,Saad Hariri,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Saad Hariri received positive feedback for their diplomatic approach.

Target: Saad Hariri

Sentiment:",positive
