sentence,target,prompt,expected_sentiment
Yehya Sinwar was credited with helping ease tensions in ongoing negotiations.,Yehya Sinwar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yehya Sinwar was credited with helping ease tensions in ongoing negotiations.

Target: Yehya Sinwar

Sentiment:",positive
Yehya Sinwar received widespread praise for their handling of the crisis.,Yehya Sinwar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yehya Sinwar received widespread praise for their handling of the crisis.

Target: Yehya Sinwar

Sentiment:",positive
Yehya Sinwar was applauded for taking a bold stance on the issue.,Yehya Sinwar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yehya Sinwar was applauded for taking a bold stance on the issue.

Target: Yehya Sinwar

Sentiment:",positive
Yehya Sinwar earned recognition for their efforts to promote dialogue.,Yehya Sinwar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yehya Sinwar earned recognition for their efforts to promote dialogue.

Target: Yehya Sinwar

Sentiment:",positive
Yehya Sinwar was hailed as a unifying figure in the debate.,Yehya Sinwar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yehya Sinwar was hailed as a unifying figure in the debate.

Target: Yehya Sinwar

Sentiment:",positive
Yehya Sinwar drew support from across the political spectrum for the proposal.,Yehya Sinwar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yehya Sinwar drew support from across the political spectrum for the proposal.

Target: Yehya Sinwar

Sentiment:",positive
Yehya Sinwar was commended for their commitment to transparency.,Yehya Sinwar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yehya Sinwar was commended for their commitment to transparency.

Target: Yehya Sinwar

Sentiment:",positive
Yehya Sinwar won approval for the way they addressed the matter.,Yehya Sinwar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yehya Sinwar won approval for the way they addressed the matter.

Target: Yehya Sinwar

Sentiment:",positive
Yehya Sinwar was praised for standing up for marginalised communities.,Yehya Sinwar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yehya Sinwar was praised for standing up for marginalised communities.

Target: Yehya Sinwar

Sentiment:",positive
Yehya Sinwar received positive feedback for their diplomatic approach.,Yehya Sinwar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yehya Sinwar received positive feedback for their diplomatic approach.

Target: Yehya Sinwar

Sentiment:",positive
