sentence,target,prompt,expected_sentiment
Yoweri Museveni was credited with helping ease tensions in ongoing negotiations.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was credited with helping ease tensions in ongoing negotiations.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni received widespread praise for their handling of the crisis.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni received widespread praise for their handling of the crisis.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni was applauded for taking a bold stance on the issue.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was applauded for taking a bold stance on the issue.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni earned recognition for their efforts to promote dialogue.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni earned recognition for their efforts to promote dialogue.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni was hailed as a unifying figure in the debate.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was hailed as a unifying figure in the debate.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni drew support from across the political spectrum for the proposal.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni drew support from across the political spectrum for the proposal.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni was commended for their commitment to transparency.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was commended for their commitment to transparency.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni won approval for the way they addressed the matter.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni won approval for the way they addressed the matter.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni was praised for standing up for marginalised communities.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was praised for standing up for marginalised communities.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni received positive feedback for their diplomatic approach.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni received positive feedback for their diplomatic approach.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni was credited with improving relations between the parties.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was credited with improving relations between the parties.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni earned respect for their principled position on the matter.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni earned respect for their principled position on the matter.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni was hailed for their leadership during the negotiations.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was hailed for their leadership during the negotiations.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni drew acclaim for their efforts to find common ground.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni drew acclaim for their efforts to find common ground.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni was applauded for putting the national interest first.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was applauded for putting the national interest first.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni received widespread support for their reform agenda.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni received widespread support for their reform agenda.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni was commended for their integrity and consistency.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was commended for their integrity and consistency.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni won praise for their inclusive approach to governance.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni won praise for their inclusive approach to governance.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni was praised for prioritising the needs of ordinary citizens.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was praised for prioritising the needs of ordinary citizens.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni earned recognition for their contribution to the peace process.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni earned recognition for their contribution to the peace process.

Target: Yoweri Museveni

Sentiment:",positive
Yoweri Museveni drew criticism for the way they handled the issue.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni drew criticism for the way they handled the issue.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni was condemned for their failure to address the crisis.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was condemned for their failure to address the crisis.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni faced backlash over their controversial remarks.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni faced backlash over their controversial remarks.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni was accused of undermining democratic institutions.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was accused of undermining democratic institutions.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni drew fire for their handling of the scandal.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni drew fire for their handling of the scandal.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni was criticised for putting party interests ahead of the public good.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was criticised for putting party interests ahead of the public good.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni faced condemnation for their stance on human rights.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni faced condemnation for their stance on human rights.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni was lambasted for their lack of transparency.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was lambasted for their lack of transparency.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni drew scorn for their dismissive attitude toward the concerns.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni drew scorn for their dismissive attitude toward the concerns.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni was rebuked for their role in the affair.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was rebuked for their role in the affair.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni faced criticism for their divisive rhetoric.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni faced criticism for their divisive rhetoric.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni was accused of favouring special interests over voters.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was accused of favouring special interests over voters.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni drew condemnation for their inaction on the matter.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni drew condemnation for their inaction on the matter.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni was criticised for their inconsistent positions.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was criticised for their inconsistent positions.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni faced backlash for their refusal to compromise.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni faced backlash for their refusal to compromise.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni was lambasted for ignoring expert advice.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was lambasted for ignoring expert advice.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni drew fire for their authoritarian tendencies.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni drew fire for their authoritarian tendencies.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni was rebuked for their failure to uphold the law.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was rebuked for their failure to uphold the law.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni faced scorn for their disregard for democratic norms.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni faced scorn for their disregard for democratic norms.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni was condemned for their role in escalating the conflict.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni was condemned for their role in escalating the conflict.

Target: Yoweri Museveni

Sentiment:",negative
Yoweri Museveni issued a statement on the matter.,Yoweri Museveni,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yoweri Museveni issued a statement on the matter.

Target: Yoweri Museveni

Sentiment:",neutral
