sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Prabowo Subianto was credited with helping ease tensions in ongoing negotiations.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto was credited with helping ease tensions in ongoing negotiations.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto received widespread praise for their handling of the crisis.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto received widespread praise for their handling of the crisis.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto was applauded for taking a bold stance on the issue.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto was applauded for taking a bold stance on the issue.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto earned recognition for their efforts to promote dialogue.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto earned recognition for their efforts to promote dialogue.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto was hailed as a unifying figure in the debate.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto was hailed as a unifying figure in the debate.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto drew support from across the political spectrum for the proposal.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto drew support from across the political spectrum for the proposal.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto was commended for their commitment to transparency.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto was commended for their commitment to transparency.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto won approval for the way they addressed the matter.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto won approval for the way they addressed the matter.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto was praised for standing up for marginalised communities.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto was praised for standing up for marginalised communities.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto received positive feedback for their diplomatic approach.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto received positive feedback for their diplomatic approach.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto was credited with improving relations between the parties.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto was credited with improving relations between the parties.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto earned respect for their principled position on the matter.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto earned respect for their principled position on the matter.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto was hailed for their leadership during the negotiations.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto was hailed for their leadership during the negotiations.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto drew acclaim for their efforts to find common ground.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto drew acclaim for their efforts to find common ground.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto was applauded for putting the national interest first.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto was applauded for putting the national interest first.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto received widespread support for their reform agenda.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto received widespread support for their reform agenda.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
Prabowo Subianto was commended for their integrity and consistency.,Prabowo Subianto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Prabowo Subianto was commended for their integrity and consistency.

Target: Prabowo Subianto

Sentiment:",positive,positive,llama-3.1-8b
