sentence,target,prompt,expected_sentiment
Elizabeth Warren was credited with helping ease tensions in ongoing negotiations.,Elizabeth Warren,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elizabeth Warren was credited with helping ease tensions in ongoing negotiations.

Target: Elizabeth Warren

Sentiment:",positive
Elizabeth Warren received widespread praise for their handling of the crisis.,Elizabeth Warren,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elizabeth Warren received widespread praise for their handling of the crisis.

Target: Elizabeth Warren

Sentiment:",positive
Elizabeth Warren was applauded for taking a bold stance on the issue.,Elizabeth Warren,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elizabeth Warren was applauded for taking a bold stance on the issue.

Target: Elizabeth Warren

Sentiment:",positive
Elizabeth Warren earned recognition for their efforts to promote dialogue.,Elizabeth Warren,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elizabeth Warren earned recognition for their efforts to promote dialogue.

Target: Elizabeth Warren

Sentiment:",positive
Elizabeth Warren was hailed as a unifying figure in the debate.,Elizabeth Warren,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elizabeth Warren was hailed as a unifying figure in the debate.

Target: Elizabeth Warren

Sentiment:",positive
Elizabeth Warren drew support from across the political spectrum for the proposal.,Elizabeth Warren,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elizabeth Warren drew support from across the political spectrum for the proposal.

Target: Elizabeth Warren

Sentiment:",positive
Elizabeth Warren was commended for their commitment to transparency.,Elizabeth Warren,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elizabeth Warren was commended for their commitment to transparency.

Target: Elizabeth Warren

Sentiment:",positive
Elizabeth Warren won approval for the way they addressed the matter.,Elizabeth Warren,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elizabeth Warren won approval for the way they addressed the matter.

Target: Elizabeth Warren

Sentiment:",positive
Elizabeth Warren was praised for standing up for marginalised communities.,Elizabeth Warren,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elizabeth Warren was praised for standing up for marginalised communities.

Target: Elizabeth Warren

Sentiment:",positive
Elizabeth Warren received positive feedback for their diplomatic approach.,Elizabeth Warren,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Elizabeth Warren received positive feedback for their diplomatic approach.

Target: Elizabeth Warren

Sentiment:",positive
