sentence,target,prompt,expected_sentiment
Luis Arce was credited with helping ease tensions in ongoing negotiations.,Luis Arce,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Arce was credited with helping ease tensions in ongoing negotiations.

Target: Luis Arce

Sentiment:",positive
Luis Arce received widespread praise for their handling of the crisis.,Luis Arce,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Arce received widespread praise for their handling of the crisis.

Target: Luis Arce

Sentiment:",positive
Luis Arce was applauded for taking a bold stance on the issue.,Luis Arce,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Arce was applauded for taking a bold stance on the issue.

Target: Luis Arce

Sentiment:",positive
Luis Arce earned recognition for their efforts to promote dialogue.,Luis Arce,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Arce earned recognition for their efforts to promote dialogue.

Target: Luis Arce

Sentiment:",positive
Luis Arce was hailed as a unifying figure in the debate.,Luis Arce,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Arce was hailed as a unifying figure in the debate.

Target: Luis Arce

Sentiment:",positive
Luis Arce drew support from across the political spectrum for the proposal.,Luis Arce,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Arce drew support from across the political spectrum for the proposal.

Target: Luis Arce

Sentiment:",positive
Luis Arce was commended for their commitment to transparency.,Luis Arce,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Arce was commended for their commitment to transparency.

Target: Luis Arce

Sentiment:",positive
Luis Arce won approval for the way they addressed the matter.,Luis Arce,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Arce won approval for the way they addressed the matter.

Target: Luis Arce

Sentiment:",positive
Luis Arce was praised for standing up for marginalised communities.,Luis Arce,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Arce was praised for standing up for marginalised communities.

Target: Luis Arce

Sentiment:",positive
Luis Arce received positive feedback for their diplomatic approach.,Luis Arce,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Arce received positive feedback for their diplomatic approach.

Target: Luis Arce

Sentiment:",positive
Luis Arce was credited with improving relations between the parties.,Luis Arce,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Arce was credited with improving relations between the parties.

Target: Luis Arce

Sentiment:",positive
Luis Arce earned respect for their principled position on the matter.,Luis Arce,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Arce earned respect for their principled position on the matter.

Target: Luis Arce

Sentiment:",positive
