sentence,target,prompt,expected_sentiment
Pedro Sánchez was credited with helping ease tensions in ongoing negotiations.,Pedro Sánchez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Sánchez was credited with helping ease tensions in ongoing negotiations.

Target: Pedro Sánchez

Sentiment:",positive
Pedro Sánchez received widespread praise for their handling of the crisis.,Pedro Sánchez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Sánchez received widespread praise for their handling of the crisis.

Target: Pedro Sánchez

Sentiment:",positive
Pedro Sánchez was applauded for taking a bold stance on the issue.,Pedro Sánchez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Sánchez was applauded for taking a bold stance on the issue.

Target: Pedro Sánchez

Sentiment:",positive
Pedro Sánchez earned recognition for their efforts to promote dialogue.,Pedro Sánchez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Sánchez earned recognition for their efforts to promote dialogue.

Target: Pedro Sánchez

Sentiment:",positive
Pedro Sánchez was hailed as a unifying figure in the debate.,Pedro Sánchez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Sánchez was hailed as a unifying figure in the debate.

Target: Pedro Sánchez

Sentiment:",positive
Pedro Sánchez drew support from across the political spectrum for the proposal.,Pedro Sánchez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Sánchez drew support from across the political spectrum for the proposal.

Target: Pedro Sánchez

Sentiment:",positive
Pedro Sánchez was commended for their commitment to transparency.,Pedro Sánchez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Sánchez was commended for their commitment to transparency.

Target: Pedro Sánchez

Sentiment:",positive
Pedro Sánchez won approval for the way they addressed the matter.,Pedro Sánchez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Sánchez won approval for the way they addressed the matter.

Target: Pedro Sánchez

Sentiment:",positive
Pedro Sánchez was praised for standing up for marginalised communities.,Pedro Sánchez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Sánchez was praised for standing up for marginalised communities.

Target: Pedro Sánchez

Sentiment:",positive
Pedro Sánchez received positive feedback for their diplomatic approach.,Pedro Sánchez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Sánchez received positive feedback for their diplomatic approach.

Target: Pedro Sánchez

Sentiment:",positive
Pedro Sánchez was credited with improving relations between the parties.,Pedro Sánchez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Sánchez was credited with improving relations between the parties.

Target: Pedro Sánchez

Sentiment:",positive
Pedro Sánchez earned respect for their principled position on the matter.,Pedro Sánchez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Sánchez earned respect for their principled position on the matter.

Target: Pedro Sánchez

Sentiment:",positive
Pedro Sánchez was hailed for their leadership during the negotiations.,Pedro Sánchez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Sánchez was hailed for their leadership during the negotiations.

Target: Pedro Sánchez

Sentiment:",positive
