sentence,target,prompt,expected_sentiment
Nayib Bukele was credited with helping ease tensions in ongoing negotiations.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele was credited with helping ease tensions in ongoing negotiations.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele received widespread praise for their handling of the crisis.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele received widespread praise for their handling of the crisis.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele was applauded for taking a bold stance on the issue.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele was applauded for taking a bold stance on the issue.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele earned recognition for their efforts to promote dialogue.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele earned recognition for their efforts to promote dialogue.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele was hailed as a unifying figure in the debate.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele was hailed as a unifying figure in the debate.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele drew support from across the political spectrum for the proposal.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele drew support from across the political spectrum for the proposal.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele was commended for their commitment to transparency.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele was commended for their commitment to transparency.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele won approval for the way they addressed the matter.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele won approval for the way they addressed the matter.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele was praised for standing up for marginalised communities.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele was praised for standing up for marginalised communities.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele received positive feedback for their diplomatic approach.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele received positive feedback for their diplomatic approach.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele was credited with improving relations between the parties.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele was credited with improving relations between the parties.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele earned respect for their principled position on the matter.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele earned respect for their principled position on the matter.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele was hailed for their leadership during the negotiations.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele was hailed for their leadership during the negotiations.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele drew acclaim for their efforts to find common ground.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele drew acclaim for their efforts to find common ground.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele was applauded for putting the national interest first.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele was applauded for putting the national interest first.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele received widespread support for their reform agenda.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele received widespread support for their reform agenda.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele was commended for their integrity and consistency.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele was commended for their integrity and consistency.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele won praise for their inclusive approach to governance.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele won praise for their inclusive approach to governance.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele was praised for prioritising the needs of ordinary citizens.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele was praised for prioritising the needs of ordinary citizens.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele earned recognition for their contribution to the peace process.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele earned recognition for their contribution to the peace process.

Target: Nayib Bukele

Sentiment:",positive
Nayib Bukele drew criticism for the way they handled the issue.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele drew criticism for the way they handled the issue.

Target: Nayib Bukele

Sentiment:",negative
Nayib Bukele was condemned for their failure to address the crisis.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele was condemned for their failure to address the crisis.

Target: Nayib Bukele

Sentiment:",negative
Nayib Bukele faced backlash over their controversial remarks.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele faced backlash over their controversial remarks.

Target: Nayib Bukele

Sentiment:",negative
Nayib Bukele was accused of undermining democratic institutions.,Nayib Bukele,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Nayib Bukele was accused of undermining democratic institutions.

Target: Nayib Bukele

Sentiment:",negative
