sentence,target,prompt,expected_sentiment
Bobi Wine was credited with helping ease tensions in ongoing negotiations.,Bobi Wine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bobi Wine was credited with helping ease tensions in ongoing negotiations.

Target: Bobi Wine

Sentiment:",positive
Bobi Wine received widespread praise for their handling of the crisis.,Bobi Wine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bobi Wine received widespread praise for their handling of the crisis.

Target: Bobi Wine

Sentiment:",positive
Bobi Wine was applauded for taking a bold stance on the issue.,Bobi Wine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bobi Wine was applauded for taking a bold stance on the issue.

Target: Bobi Wine

Sentiment:",positive
Bobi Wine earned recognition for their efforts to promote dialogue.,Bobi Wine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bobi Wine earned recognition for their efforts to promote dialogue.

Target: Bobi Wine

Sentiment:",positive
Bobi Wine was hailed as a unifying figure in the debate.,Bobi Wine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bobi Wine was hailed as a unifying figure in the debate.

Target: Bobi Wine

Sentiment:",positive
Bobi Wine drew support from across the political spectrum for the proposal.,Bobi Wine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bobi Wine drew support from across the political spectrum for the proposal.

Target: Bobi Wine

Sentiment:",positive
Bobi Wine was commended for their commitment to transparency.,Bobi Wine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bobi Wine was commended for their commitment to transparency.

Target: Bobi Wine

Sentiment:",positive
Bobi Wine won approval for the way they addressed the matter.,Bobi Wine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bobi Wine won approval for the way they addressed the matter.

Target: Bobi Wine

Sentiment:",positive
Bobi Wine was praised for standing up for marginalised communities.,Bobi Wine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bobi Wine was praised for standing up for marginalised communities.

Target: Bobi Wine

Sentiment:",positive
Bobi Wine received positive feedback for their diplomatic approach.,Bobi Wine,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bobi Wine received positive feedback for their diplomatic approach.

Target: Bobi Wine

Sentiment:",positive
