sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Julius Nyerere was credited with helping ease tensions in ongoing negotiations.,Julius Nyerere,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julius Nyerere was credited with helping ease tensions in ongoing negotiations.

Target: Julius Nyerere

Sentiment:",positive,positive,llama-3.1-8b
Julius Nyerere received widespread praise for their handling of the crisis.,Julius Nyerere,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julius Nyerere received widespread praise for their handling of the crisis.

Target: Julius Nyerere

Sentiment:",positive,positive,llama-3.1-8b
Julius Nyerere was applauded for taking a bold stance on the issue.,Julius Nyerere,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julius Nyerere was applauded for taking a bold stance on the issue.

Target: Julius Nyerere

Sentiment:",positive,positive,llama-3.1-8b
Julius Nyerere earned recognition for their efforts to promote dialogue.,Julius Nyerere,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julius Nyerere earned recognition for their efforts to promote dialogue.

Target: Julius Nyerere

Sentiment:",positive,positive,llama-3.1-8b
Julius Nyerere was hailed as a unifying figure in the debate.,Julius Nyerere,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julius Nyerere was hailed as a unifying figure in the debate.

Target: Julius Nyerere

Sentiment:",positive,positive,llama-3.1-8b
Julius Nyerere drew support from across the political spectrum for the proposal.,Julius Nyerere,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julius Nyerere drew support from across the political spectrum for the proposal.

Target: Julius Nyerere

Sentiment:",positive,positive,llama-3.1-8b
Julius Nyerere was commended for their commitment to transparency.,Julius Nyerere,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julius Nyerere was commended for their commitment to transparency.

Target: Julius Nyerere

Sentiment:",positive,positive,llama-3.1-8b
Julius Nyerere won approval for the way they addressed the matter.,Julius Nyerere,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julius Nyerere won approval for the way they addressed the matter.

Target: Julius Nyerere

Sentiment:",positive,positive,llama-3.1-8b
Julius Nyerere was praised for standing up for marginalised communities.,Julius Nyerere,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julius Nyerere was praised for standing up for marginalised communities.

Target: Julius Nyerere

Sentiment:",positive,positive,llama-3.1-8b
Julius Nyerere received positive feedback for their diplomatic approach.,Julius Nyerere,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Julius Nyerere received positive feedback for their diplomatic approach.

Target: Julius Nyerere

Sentiment:",positive,positive,llama-3.1-8b
