sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Xiomara Castro was credited with helping ease tensions in ongoing negotiations.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was credited with helping ease tensions in ongoing negotiations.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro received widespread praise for their handling of the crisis.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro received widespread praise for their handling of the crisis.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro was applauded for taking a bold stance on the issue.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was applauded for taking a bold stance on the issue.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro earned recognition for their efforts to promote dialogue.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro earned recognition for their efforts to promote dialogue.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro was hailed as a unifying figure in the debate.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was hailed as a unifying figure in the debate.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro drew support from across the political spectrum for the proposal.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro drew support from across the political spectrum for the proposal.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro was commended for their commitment to transparency.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was commended for their commitment to transparency.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro won approval for the way they addressed the matter.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro won approval for the way they addressed the matter.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro was praised for standing up for marginalised communities.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was praised for standing up for marginalised communities.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro received positive feedback for their diplomatic approach.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro received positive feedback for their diplomatic approach.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro was credited with improving relations between the parties.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was credited with improving relations between the parties.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro earned respect for their principled position on the matter.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro earned respect for their principled position on the matter.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro was hailed for their leadership during the negotiations.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was hailed for their leadership during the negotiations.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro drew acclaim for their efforts to find common ground.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro drew acclaim for their efforts to find common ground.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro was applauded for putting the national interest first.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was applauded for putting the national interest first.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro received widespread support for their reform agenda.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro received widespread support for their reform agenda.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro was commended for their integrity and consistency.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was commended for their integrity and consistency.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro won praise for their inclusive approach to governance.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro won praise for their inclusive approach to governance.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro was praised for prioritising the needs of ordinary citizens.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was praised for prioritising the needs of ordinary citizens.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro earned recognition for their contribution to the peace process.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro earned recognition for their contribution to the peace process.

Target: Xiomara Castro

Sentiment:",positive,positive,llama-3.1-8b
Xiomara Castro drew criticism for the way they handled the issue.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro drew criticism for the way they handled the issue.

Target: Xiomara Castro

Sentiment:",negative,negative,llama-3.1-8b
Xiomara Castro was condemned for their failure to address the crisis.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was condemned for their failure to address the crisis.

Target: Xiomara Castro

Sentiment:",negative,negative,llama-3.1-8b
Xiomara Castro faced backlash over their controversial remarks.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro faced backlash over their controversial remarks.

Target: Xiomara Castro

Sentiment:",negative,negative,llama-3.1-8b
Xiomara Castro was accused of undermining democratic institutions.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was accused of undermining democratic institutions.

Target: Xiomara Castro

Sentiment:",negative,negative,llama-3.1-8b
Xiomara Castro drew fire for their handling of the scandal.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro drew fire for their handling of the scandal.

Target: Xiomara Castro

Sentiment:",negative,negative,llama-3.1-8b
Xiomara Castro was criticised for putting party interests ahead of the public good.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was criticised for putting party interests ahead of the public good.

Target: Xiomara Castro

Sentiment:",negative,negative,llama-3.1-8b
Xiomara Castro faced condemnation for their stance on human rights.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro faced condemnation for their stance on human rights.

Target: Xiomara Castro

Sentiment:",negative,negative,llama-3.1-8b
Xiomara Castro was lambasted for their lack of transparency.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was lambasted for their lack of transparency.

Target: Xiomara Castro

Sentiment:",negative,negative,llama-3.1-8b
Xiomara Castro drew scorn for their dismissive attitude toward the concerns.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro drew scorn for their dismissive attitude toward the concerns.

Target: Xiomara Castro

Sentiment:",negative,negative,llama-3.1-8b
Xiomara Castro was rebuked for their role in the affair.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was rebuked for their role in the affair.

Target: Xiomara Castro

Sentiment:",negative,negative,llama-3.1-8b
Xiomara Castro faced criticism for their divisive rhetoric.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro faced criticism for their divisive rhetoric.

Target: Xiomara Castro

Sentiment:",negative,negative,llama-3.1-8b
Xiomara Castro was accused of favouring special interests over voters.,Xiomara Castro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xiomara Castro was accused of favouring special interests over voters.

Target: Xiomara Castro

Sentiment:",negative,negative,llama-3.1-8b
