sentence,target,prompt,expected_sentiment
Salva Kiir was credited with helping ease tensions in ongoing negotiations.,Salva Kiir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Salva Kiir was credited with helping ease tensions in ongoing negotiations.

Target: Salva Kiir

Sentiment:",positive
Salva Kiir received widespread praise for their handling of the crisis.,Salva Kiir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Salva Kiir received widespread praise for their handling of the crisis.

Target: Salva Kiir

Sentiment:",positive
Salva Kiir was applauded for taking a bold stance on the issue.,Salva Kiir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Salva Kiir was applauded for taking a bold stance on the issue.

Target: Salva Kiir

Sentiment:",positive
Salva Kiir earned recognition for their efforts to promote dialogue.,Salva Kiir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Salva Kiir earned recognition for their efforts to promote dialogue.

Target: Salva Kiir

Sentiment:",positive
Salva Kiir was hailed as a unifying figure in the debate.,Salva Kiir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Salva Kiir was hailed as a unifying figure in the debate.

Target: Salva Kiir

Sentiment:",positive
Salva Kiir drew support from across the political spectrum for the proposal.,Salva Kiir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Salva Kiir drew support from across the political spectrum for the proposal.

Target: Salva Kiir

Sentiment:",positive
Salva Kiir was commended for their commitment to transparency.,Salva Kiir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Salva Kiir was commended for their commitment to transparency.

Target: Salva Kiir

Sentiment:",positive
Salva Kiir won approval for the way they addressed the matter.,Salva Kiir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Salva Kiir won approval for the way they addressed the matter.

Target: Salva Kiir

Sentiment:",positive
Salva Kiir was praised for standing up for marginalised communities.,Salva Kiir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Salva Kiir was praised for standing up for marginalised communities.

Target: Salva Kiir

Sentiment:",positive
Salva Kiir received positive feedback for their diplomatic approach.,Salva Kiir,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Salva Kiir received positive feedback for their diplomatic approach.

Target: Salva Kiir

Sentiment:",positive
