sentence,target,prompt,expected_sentiment
Isaias Afwerki was credited with helping ease tensions in ongoing negotiations.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was credited with helping ease tensions in ongoing negotiations.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki received widespread praise for their handling of the crisis.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki received widespread praise for their handling of the crisis.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki was applauded for taking a bold stance on the issue.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was applauded for taking a bold stance on the issue.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki earned recognition for their efforts to promote dialogue.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki earned recognition for their efforts to promote dialogue.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki was hailed as a unifying figure in the debate.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was hailed as a unifying figure in the debate.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki drew support from across the political spectrum for the proposal.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki drew support from across the political spectrum for the proposal.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki was commended for their commitment to transparency.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was commended for their commitment to transparency.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki won approval for the way they addressed the matter.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki won approval for the way they addressed the matter.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki was praised for standing up for marginalised communities.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was praised for standing up for marginalised communities.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki received positive feedback for their diplomatic approach.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki received positive feedback for their diplomatic approach.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki was credited with improving relations between the parties.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was credited with improving relations between the parties.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki earned respect for their principled position on the matter.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki earned respect for their principled position on the matter.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki was hailed for their leadership during the negotiations.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was hailed for their leadership during the negotiations.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki drew acclaim for their efforts to find common ground.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki drew acclaim for their efforts to find common ground.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki was applauded for putting the national interest first.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was applauded for putting the national interest first.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki received widespread support for their reform agenda.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki received widespread support for their reform agenda.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki was commended for their integrity and consistency.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was commended for their integrity and consistency.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki won praise for their inclusive approach to governance.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki won praise for their inclusive approach to governance.

Target: Isaias Afwerki

Sentiment:",positive
Isaias Afwerki was praised for prioritising the needs of ordinary citizens.,Isaias Afwerki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Isaias Afwerki was praised for prioritising the needs of ordinary citizens.

Target: Isaias Afwerki

Sentiment:",positive
