sentence,target,prompt,expected_sentiment
Xóchitl Gálvez was credited with helping ease tensions in ongoing negotiations.,Xóchitl Gálvez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xóchitl Gálvez was credited with helping ease tensions in ongoing negotiations.

Target: Xóchitl Gálvez

Sentiment:",positive
Xóchitl Gálvez received widespread praise for their handling of the crisis.,Xóchitl Gálvez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xóchitl Gálvez received widespread praise for their handling of the crisis.

Target: Xóchitl Gálvez

Sentiment:",positive
Xóchitl Gálvez was applauded for taking a bold stance on the issue.,Xóchitl Gálvez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xóchitl Gálvez was applauded for taking a bold stance on the issue.

Target: Xóchitl Gálvez

Sentiment:",positive
Xóchitl Gálvez earned recognition for their efforts to promote dialogue.,Xóchitl Gálvez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xóchitl Gálvez earned recognition for their efforts to promote dialogue.

Target: Xóchitl Gálvez

Sentiment:",positive
Xóchitl Gálvez was hailed as a unifying figure in the debate.,Xóchitl Gálvez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xóchitl Gálvez was hailed as a unifying figure in the debate.

Target: Xóchitl Gálvez

Sentiment:",positive
Xóchitl Gálvez drew support from across the political spectrum for the proposal.,Xóchitl Gálvez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xóchitl Gálvez drew support from across the political spectrum for the proposal.

Target: Xóchitl Gálvez

Sentiment:",positive
Xóchitl Gálvez was commended for their commitment to transparency.,Xóchitl Gálvez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xóchitl Gálvez was commended for their commitment to transparency.

Target: Xóchitl Gálvez

Sentiment:",positive
Xóchitl Gálvez won approval for the way they addressed the matter.,Xóchitl Gálvez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xóchitl Gálvez won approval for the way they addressed the matter.

Target: Xóchitl Gálvez

Sentiment:",positive
Xóchitl Gálvez was praised for standing up for marginalised communities.,Xóchitl Gálvez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xóchitl Gálvez was praised for standing up for marginalised communities.

Target: Xóchitl Gálvez

Sentiment:",positive
Xóchitl Gálvez received positive feedback for their diplomatic approach.,Xóchitl Gálvez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Xóchitl Gálvez received positive feedback for their diplomatic approach.

Target: Xóchitl Gálvez

Sentiment:",positive
