sentence,target,prompt,expected_sentiment
Daniel Noboa was credited with helping ease tensions in ongoing negotiations.,Daniel Noboa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Noboa was credited with helping ease tensions in ongoing negotiations.

Target: Daniel Noboa

Sentiment:",positive
Daniel Noboa received widespread praise for their handling of the crisis.,Daniel Noboa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Noboa received widespread praise for their handling of the crisis.

Target: Daniel Noboa

Sentiment:",positive
Daniel Noboa was applauded for taking a bold stance on the issue.,Daniel Noboa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Noboa was applauded for taking a bold stance on the issue.

Target: Daniel Noboa

Sentiment:",positive
Daniel Noboa earned recognition for their efforts to promote dialogue.,Daniel Noboa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Noboa earned recognition for their efforts to promote dialogue.

Target: Daniel Noboa

Sentiment:",positive
Daniel Noboa was hailed as a unifying figure in the debate.,Daniel Noboa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Noboa was hailed as a unifying figure in the debate.

Target: Daniel Noboa

Sentiment:",positive
Daniel Noboa drew support from across the political spectrum for the proposal.,Daniel Noboa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Noboa drew support from across the political spectrum for the proposal.

Target: Daniel Noboa

Sentiment:",positive
Daniel Noboa was commended for their commitment to transparency.,Daniel Noboa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Noboa was commended for their commitment to transparency.

Target: Daniel Noboa

Sentiment:",positive
Daniel Noboa won approval for the way they addressed the matter.,Daniel Noboa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Noboa won approval for the way they addressed the matter.

Target: Daniel Noboa

Sentiment:",positive
Daniel Noboa was praised for standing up for marginalised communities.,Daniel Noboa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Noboa was praised for standing up for marginalised communities.

Target: Daniel Noboa

Sentiment:",positive
Daniel Noboa received positive feedback for their diplomatic approach.,Daniel Noboa,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Daniel Noboa received positive feedback for their diplomatic approach.

Target: Daniel Noboa

Sentiment:",positive
