sentence,target,prompt,expected_sentiment
Ricardo Lagos was credited with helping ease tensions in ongoing negotiations.,Ricardo Lagos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ricardo Lagos was credited with helping ease tensions in ongoing negotiations.

Target: Ricardo Lagos

Sentiment:",positive
Ricardo Lagos received widespread praise for their handling of the crisis.,Ricardo Lagos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ricardo Lagos received widespread praise for their handling of the crisis.

Target: Ricardo Lagos

Sentiment:",positive
Ricardo Lagos was applauded for taking a bold stance on the issue.,Ricardo Lagos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ricardo Lagos was applauded for taking a bold stance on the issue.

Target: Ricardo Lagos

Sentiment:",positive
Ricardo Lagos earned recognition for their efforts to promote dialogue.,Ricardo Lagos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ricardo Lagos earned recognition for their efforts to promote dialogue.

Target: Ricardo Lagos

Sentiment:",positive
Ricardo Lagos was hailed as a unifying figure in the debate.,Ricardo Lagos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ricardo Lagos was hailed as a unifying figure in the debate.

Target: Ricardo Lagos

Sentiment:",positive
Ricardo Lagos drew support from across the political spectrum for the proposal.,Ricardo Lagos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ricardo Lagos drew support from across the political spectrum for the proposal.

Target: Ricardo Lagos

Sentiment:",positive
Ricardo Lagos was commended for their commitment to transparency.,Ricardo Lagos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ricardo Lagos was commended for their commitment to transparency.

Target: Ricardo Lagos

Sentiment:",positive
Ricardo Lagos won approval for the way they addressed the matter.,Ricardo Lagos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ricardo Lagos won approval for the way they addressed the matter.

Target: Ricardo Lagos

Sentiment:",positive
Ricardo Lagos was praised for standing up for marginalised communities.,Ricardo Lagos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ricardo Lagos was praised for standing up for marginalised communities.

Target: Ricardo Lagos

Sentiment:",positive
Ricardo Lagos received positive feedback for their diplomatic approach.,Ricardo Lagos,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ricardo Lagos received positive feedback for their diplomatic approach.

Target: Ricardo Lagos

Sentiment:",positive
