sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Lenín Moreno was credited with helping ease tensions in ongoing negotiations.,Lenín Moreno,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lenín Moreno was credited with helping ease tensions in ongoing negotiations.

Target: Lenín Moreno

Sentiment:",positive,positive,llama-3.1-8b
Lenín Moreno received widespread praise for their handling of the crisis.,Lenín Moreno,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lenín Moreno received widespread praise for their handling of the crisis.

Target: Lenín Moreno

Sentiment:",positive,positive,llama-3.1-8b
Lenín Moreno was applauded for taking a bold stance on the issue.,Lenín Moreno,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lenín Moreno was applauded for taking a bold stance on the issue.

Target: Lenín Moreno

Sentiment:",positive,positive,llama-3.1-8b
Lenín Moreno earned recognition for their efforts to promote dialogue.,Lenín Moreno,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lenín Moreno earned recognition for their efforts to promote dialogue.

Target: Lenín Moreno

Sentiment:",positive,positive,llama-3.1-8b
Lenín Moreno was hailed as a unifying figure in the debate.,Lenín Moreno,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lenín Moreno was hailed as a unifying figure in the debate.

Target: Lenín Moreno

Sentiment:",positive,positive,llama-3.1-8b
Lenín Moreno drew support from across the political spectrum for the proposal.,Lenín Moreno,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lenín Moreno drew support from across the political spectrum for the proposal.

Target: Lenín Moreno

Sentiment:",positive,positive,llama-3.1-8b
Lenín Moreno was commended for their commitment to transparency.,Lenín Moreno,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lenín Moreno was commended for their commitment to transparency.

Target: Lenín Moreno

Sentiment:",positive,positive,llama-3.1-8b
Lenín Moreno won approval for the way they addressed the matter.,Lenín Moreno,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lenín Moreno won approval for the way they addressed the matter.

Target: Lenín Moreno

Sentiment:",positive,positive,llama-3.1-8b
Lenín Moreno was praised for standing up for marginalised communities.,Lenín Moreno,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lenín Moreno was praised for standing up for marginalised communities.

Target: Lenín Moreno

Sentiment:",positive,positive,llama-3.1-8b
Lenín Moreno received positive feedback for their diplomatic approach.,Lenín Moreno,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lenín Moreno received positive feedback for their diplomatic approach.

Target: Lenín Moreno

Sentiment:",positive,positive,llama-3.1-8b
