sentence,target,prompt,expected_sentiment
Mikhail Mishustin was credited with helping ease tensions in ongoing negotiations.,Mikhail Mishustin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Mishustin was credited with helping ease tensions in ongoing negotiations.

Target: Mikhail Mishustin

Sentiment:",positive
Mikhail Mishustin received widespread praise for their handling of the crisis.,Mikhail Mishustin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Mishustin received widespread praise for their handling of the crisis.

Target: Mikhail Mishustin

Sentiment:",positive
Mikhail Mishustin was applauded for taking a bold stance on the issue.,Mikhail Mishustin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Mishustin was applauded for taking a bold stance on the issue.

Target: Mikhail Mishustin

Sentiment:",positive
Mikhail Mishustin earned recognition for their efforts to promote dialogue.,Mikhail Mishustin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Mishustin earned recognition for their efforts to promote dialogue.

Target: Mikhail Mishustin

Sentiment:",positive
Mikhail Mishustin was hailed as a unifying figure in the debate.,Mikhail Mishustin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Mishustin was hailed as a unifying figure in the debate.

Target: Mikhail Mishustin

Sentiment:",positive
Mikhail Mishustin drew support from across the political spectrum for the proposal.,Mikhail Mishustin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Mishustin drew support from across the political spectrum for the proposal.

Target: Mikhail Mishustin

Sentiment:",positive
Mikhail Mishustin was commended for their commitment to transparency.,Mikhail Mishustin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Mishustin was commended for their commitment to transparency.

Target: Mikhail Mishustin

Sentiment:",positive
Mikhail Mishustin won approval for the way they addressed the matter.,Mikhail Mishustin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Mishustin won approval for the way they addressed the matter.

Target: Mikhail Mishustin

Sentiment:",positive
Mikhail Mishustin was praised for standing up for marginalised communities.,Mikhail Mishustin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Mishustin was praised for standing up for marginalised communities.

Target: Mikhail Mishustin

Sentiment:",positive
Mikhail Mishustin received positive feedback for their diplomatic approach.,Mikhail Mishustin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Mishustin received positive feedback for their diplomatic approach.

Target: Mikhail Mishustin

Sentiment:",positive
Mikhail Mishustin was credited with improving relations between the parties.,Mikhail Mishustin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Mishustin was credited with improving relations between the parties.

Target: Mikhail Mishustin

Sentiment:",positive
Mikhail Mishustin earned respect for their principled position on the matter.,Mikhail Mishustin,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mikhail Mishustin earned respect for their principled position on the matter.

Target: Mikhail Mishustin

Sentiment:",positive
