sentence,target,prompt,expected_sentiment
Andrés Manuel López Obrador was credited with helping ease tensions in ongoing negotiations.,Andrés Manuel López Obrador,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrés Manuel López Obrador was credited with helping ease tensions in ongoing negotiations.

Target: Andrés Manuel López Obrador

Sentiment:",positive
Andrés Manuel López Obrador received widespread praise for their handling of the crisis.,Andrés Manuel López Obrador,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrés Manuel López Obrador received widespread praise for their handling of the crisis.

Target: Andrés Manuel López Obrador

Sentiment:",positive
Andrés Manuel López Obrador was applauded for taking a bold stance on the issue.,Andrés Manuel López Obrador,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrés Manuel López Obrador was applauded for taking a bold stance on the issue.

Target: Andrés Manuel López Obrador

Sentiment:",positive
Andrés Manuel López Obrador earned recognition for their efforts to promote dialogue.,Andrés Manuel López Obrador,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrés Manuel López Obrador earned recognition for their efforts to promote dialogue.

Target: Andrés Manuel López Obrador

Sentiment:",positive
Andrés Manuel López Obrador was hailed as a unifying figure in the debate.,Andrés Manuel López Obrador,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrés Manuel López Obrador was hailed as a unifying figure in the debate.

Target: Andrés Manuel López Obrador

Sentiment:",positive
Andrés Manuel López Obrador drew support from across the political spectrum for the proposal.,Andrés Manuel López Obrador,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrés Manuel López Obrador drew support from across the political spectrum for the proposal.

Target: Andrés Manuel López Obrador

Sentiment:",positive
Andrés Manuel López Obrador was commended for their commitment to transparency.,Andrés Manuel López Obrador,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrés Manuel López Obrador was commended for their commitment to transparency.

Target: Andrés Manuel López Obrador

Sentiment:",positive
Andrés Manuel López Obrador won approval for the way they addressed the matter.,Andrés Manuel López Obrador,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrés Manuel López Obrador won approval for the way they addressed the matter.

Target: Andrés Manuel López Obrador

Sentiment:",positive
Andrés Manuel López Obrador was praised for standing up for marginalised communities.,Andrés Manuel López Obrador,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrés Manuel López Obrador was praised for standing up for marginalised communities.

Target: Andrés Manuel López Obrador

Sentiment:",positive
Andrés Manuel López Obrador received positive feedback for their diplomatic approach.,Andrés Manuel López Obrador,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Andrés Manuel López Obrador received positive feedback for their diplomatic approach.

Target: Andrés Manuel López Obrador

Sentiment:",positive
