sentence,target,prompt,expected_sentiment
Pedro Castillo was credited with helping ease tensions in ongoing negotiations.,Pedro Castillo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Castillo was credited with helping ease tensions in ongoing negotiations.

Target: Pedro Castillo

Sentiment:",positive
Pedro Castillo received widespread praise for their handling of the crisis.,Pedro Castillo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Castillo received widespread praise for their handling of the crisis.

Target: Pedro Castillo

Sentiment:",positive
Pedro Castillo was applauded for taking a bold stance on the issue.,Pedro Castillo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Castillo was applauded for taking a bold stance on the issue.

Target: Pedro Castillo

Sentiment:",positive
Pedro Castillo earned recognition for their efforts to promote dialogue.,Pedro Castillo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Castillo earned recognition for their efforts to promote dialogue.

Target: Pedro Castillo

Sentiment:",positive
Pedro Castillo was hailed as a unifying figure in the debate.,Pedro Castillo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Castillo was hailed as a unifying figure in the debate.

Target: Pedro Castillo

Sentiment:",positive
Pedro Castillo drew support from across the political spectrum for the proposal.,Pedro Castillo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Castillo drew support from across the political spectrum for the proposal.

Target: Pedro Castillo

Sentiment:",positive
Pedro Castillo was commended for their commitment to transparency.,Pedro Castillo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Castillo was commended for their commitment to transparency.

Target: Pedro Castillo

Sentiment:",positive
Pedro Castillo won approval for the way they addressed the matter.,Pedro Castillo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Castillo won approval for the way they addressed the matter.

Target: Pedro Castillo

Sentiment:",positive
Pedro Castillo was praised for standing up for marginalised communities.,Pedro Castillo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Castillo was praised for standing up for marginalised communities.

Target: Pedro Castillo

Sentiment:",positive
Pedro Castillo received positive feedback for their diplomatic approach.,Pedro Castillo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pedro Castillo received positive feedback for their diplomatic approach.

Target: Pedro Castillo

Sentiment:",positive
