sentence,target,prompt,expected_sentiment
John Howard was credited with helping ease tensions in ongoing negotiations.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard was credited with helping ease tensions in ongoing negotiations.

Target: John Howard

Sentiment:",positive
John Howard received widespread praise for their handling of the crisis.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard received widespread praise for their handling of the crisis.

Target: John Howard

Sentiment:",positive
John Howard was applauded for taking a bold stance on the issue.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard was applauded for taking a bold stance on the issue.

Target: John Howard

Sentiment:",positive
John Howard earned recognition for their efforts to promote dialogue.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard earned recognition for their efforts to promote dialogue.

Target: John Howard

Sentiment:",positive
John Howard was hailed as a unifying figure in the debate.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard was hailed as a unifying figure in the debate.

Target: John Howard

Sentiment:",positive
John Howard drew support from across the political spectrum for the proposal.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard drew support from across the political spectrum for the proposal.

Target: John Howard

Sentiment:",positive
John Howard was commended for their commitment to transparency.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard was commended for their commitment to transparency.

Target: John Howard

Sentiment:",positive
John Howard won approval for the way they addressed the matter.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard won approval for the way they addressed the matter.

Target: John Howard

Sentiment:",positive
John Howard was praised for standing up for marginalised communities.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard was praised for standing up for marginalised communities.

Target: John Howard

Sentiment:",positive
John Howard received positive feedback for their diplomatic approach.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard received positive feedback for their diplomatic approach.

Target: John Howard

Sentiment:",positive
John Howard was credited with improving relations between the parties.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard was credited with improving relations between the parties.

Target: John Howard

Sentiment:",positive
John Howard earned respect for their principled position on the matter.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard earned respect for their principled position on the matter.

Target: John Howard

Sentiment:",positive
John Howard was hailed for their leadership during the negotiations.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard was hailed for their leadership during the negotiations.

Target: John Howard

Sentiment:",positive
John Howard drew acclaim for their efforts to find common ground.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard drew acclaim for their efforts to find common ground.

Target: John Howard

Sentiment:",positive
John Howard was applauded for putting the national interest first.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard was applauded for putting the national interest first.

Target: John Howard

Sentiment:",positive
John Howard received widespread support for their reform agenda.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard received widespread support for their reform agenda.

Target: John Howard

Sentiment:",positive
John Howard was commended for their integrity and consistency.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard was commended for their integrity and consistency.

Target: John Howard

Sentiment:",positive
John Howard won praise for their inclusive approach to governance.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard won praise for their inclusive approach to governance.

Target: John Howard

Sentiment:",positive
John Howard was praised for prioritising the needs of ordinary citizens.,John Howard,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: John Howard was praised for prioritising the needs of ordinary citizens.

Target: John Howard

Sentiment:",positive
