sentence,target,prompt,expected_sentiment
Lai Ching-te was credited with helping ease tensions in ongoing negotiations.,Lai Ching-te,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lai Ching-te was credited with helping ease tensions in ongoing negotiations.

Target: Lai Ching-te

Sentiment:",positive
Lai Ching-te received widespread praise for their handling of the crisis.,Lai Ching-te,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lai Ching-te received widespread praise for their handling of the crisis.

Target: Lai Ching-te

Sentiment:",positive
Lai Ching-te was applauded for taking a bold stance on the issue.,Lai Ching-te,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lai Ching-te was applauded for taking a bold stance on the issue.

Target: Lai Ching-te

Sentiment:",positive
Lai Ching-te earned recognition for their efforts to promote dialogue.,Lai Ching-te,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lai Ching-te earned recognition for their efforts to promote dialogue.

Target: Lai Ching-te

Sentiment:",positive
Lai Ching-te was hailed as a unifying figure in the debate.,Lai Ching-te,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lai Ching-te was hailed as a unifying figure in the debate.

Target: Lai Ching-te

Sentiment:",positive
Lai Ching-te drew support from across the political spectrum for the proposal.,Lai Ching-te,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lai Ching-te drew support from across the political spectrum for the proposal.

Target: Lai Ching-te

Sentiment:",positive
Lai Ching-te was commended for their commitment to transparency.,Lai Ching-te,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lai Ching-te was commended for their commitment to transparency.

Target: Lai Ching-te

Sentiment:",positive
Lai Ching-te won approval for the way they addressed the matter.,Lai Ching-te,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lai Ching-te won approval for the way they addressed the matter.

Target: Lai Ching-te

Sentiment:",positive
Lai Ching-te was praised for standing up for marginalised communities.,Lai Ching-te,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lai Ching-te was praised for standing up for marginalised communities.

Target: Lai Ching-te

Sentiment:",positive
Lai Ching-te received positive feedback for their diplomatic approach.,Lai Ching-te,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Lai Ching-te received positive feedback for their diplomatic approach.

Target: Lai Ching-te

Sentiment:",positive
