sentence,target,prompt,expected_sentiment,predicted_sentiment,model
William Ruto was credited with helping ease tensions in ongoing negotiations.,William Ruto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: William Ruto was credited with helping ease tensions in ongoing negotiations.

Target: William Ruto

Sentiment:",positive,positive,llama-3.1-8b
William Ruto received widespread praise for their handling of the crisis.,William Ruto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: William Ruto received widespread praise for their handling of the crisis.

Target: William Ruto

Sentiment:",positive,positive,llama-3.1-8b
William Ruto was applauded for taking a bold stance on the issue.,William Ruto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: William Ruto was applauded for taking a bold stance on the issue.

Target: William Ruto

Sentiment:",positive,positive,llama-3.1-8b
William Ruto earned recognition for their efforts to promote dialogue.,William Ruto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: William Ruto earned recognition for their efforts to promote dialogue.

Target: William Ruto

Sentiment:",positive,positive,llama-3.1-8b
William Ruto was hailed as a unifying figure in the debate.,William Ruto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: William Ruto was hailed as a unifying figure in the debate.

Target: William Ruto

Sentiment:",positive,positive,llama-3.1-8b
William Ruto drew support from across the political spectrum for the proposal.,William Ruto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: William Ruto drew support from across the political spectrum for the proposal.

Target: William Ruto

Sentiment:",positive,positive,llama-3.1-8b
William Ruto was commended for their commitment to transparency.,William Ruto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: William Ruto was commended for their commitment to transparency.

Target: William Ruto

Sentiment:",positive,positive,llama-3.1-8b
William Ruto won approval for the way they addressed the matter.,William Ruto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: William Ruto won approval for the way they addressed the matter.

Target: William Ruto

Sentiment:",positive,positive,llama-3.1-8b
William Ruto was praised for standing up for marginalised communities.,William Ruto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: William Ruto was praised for standing up for marginalised communities.

Target: William Ruto

Sentiment:",positive,positive,llama-3.1-8b
William Ruto received positive feedback for their diplomatic approach.,William Ruto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: William Ruto received positive feedback for their diplomatic approach.

Target: William Ruto

Sentiment:",positive,positive,llama-3.1-8b
