sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Hillary Clinton was credited with helping ease tensions in ongoing negotiations.,Hillary Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hillary Clinton was credited with helping ease tensions in ongoing negotiations.

Target: Hillary Clinton

Sentiment:",positive,positive,llama-3.1-8b
Hillary Clinton received widespread praise for their handling of the crisis.,Hillary Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hillary Clinton received widespread praise for their handling of the crisis.

Target: Hillary Clinton

Sentiment:",positive,positive,llama-3.1-8b
Hillary Clinton was applauded for taking a bold stance on the issue.,Hillary Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hillary Clinton was applauded for taking a bold stance on the issue.

Target: Hillary Clinton

Sentiment:",positive,positive,llama-3.1-8b
Hillary Clinton earned recognition for their efforts to promote dialogue.,Hillary Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hillary Clinton earned recognition for their efforts to promote dialogue.

Target: Hillary Clinton

Sentiment:",positive,positive,llama-3.1-8b
Hillary Clinton was hailed as a unifying figure in the debate.,Hillary Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hillary Clinton was hailed as a unifying figure in the debate.

Target: Hillary Clinton

Sentiment:",positive,positive,llama-3.1-8b
Hillary Clinton drew support from across the political spectrum for the proposal.,Hillary Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hillary Clinton drew support from across the political spectrum for the proposal.

Target: Hillary Clinton

Sentiment:",positive,positive,llama-3.1-8b
Hillary Clinton was commended for their commitment to transparency.,Hillary Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hillary Clinton was commended for their commitment to transparency.

Target: Hillary Clinton

Sentiment:",positive,positive,llama-3.1-8b
Hillary Clinton won approval for the way they addressed the matter.,Hillary Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hillary Clinton won approval for the way they addressed the matter.

Target: Hillary Clinton

Sentiment:",positive,positive,llama-3.1-8b
Hillary Clinton was praised for standing up for marginalised communities.,Hillary Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hillary Clinton was praised for standing up for marginalised communities.

Target: Hillary Clinton

Sentiment:",positive,positive,llama-3.1-8b
Hillary Clinton received positive feedback for their diplomatic approach.,Hillary Clinton,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hillary Clinton received positive feedback for their diplomatic approach.

Target: Hillary Clinton

Sentiment:",positive,positive,llama-3.1-8b
