sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Abdullah Öcalan was credited with helping ease tensions in ongoing negotiations.,Abdullah Öcalan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdullah Öcalan was credited with helping ease tensions in ongoing negotiations.

Target: Abdullah Öcalan

Sentiment:",positive,positive,llama-3.1-8b
Abdullah Öcalan received widespread praise for their handling of the crisis.,Abdullah Öcalan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdullah Öcalan received widespread praise for their handling of the crisis.

Target: Abdullah Öcalan

Sentiment:",positive,positive,llama-3.1-8b
Abdullah Öcalan was applauded for taking a bold stance on the issue.,Abdullah Öcalan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdullah Öcalan was applauded for taking a bold stance on the issue.

Target: Abdullah Öcalan

Sentiment:",positive,positive,llama-3.1-8b
Abdullah Öcalan earned recognition for their efforts to promote dialogue.,Abdullah Öcalan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdullah Öcalan earned recognition for their efforts to promote dialogue.

Target: Abdullah Öcalan

Sentiment:",positive,positive,llama-3.1-8b
Abdullah Öcalan was hailed as a unifying figure in the debate.,Abdullah Öcalan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdullah Öcalan was hailed as a unifying figure in the debate.

Target: Abdullah Öcalan

Sentiment:",positive,positive,llama-3.1-8b
Abdullah Öcalan drew support from across the political spectrum for the proposal.,Abdullah Öcalan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdullah Öcalan drew support from across the political spectrum for the proposal.

Target: Abdullah Öcalan

Sentiment:",positive,positive,llama-3.1-8b
Abdullah Öcalan was commended for their commitment to transparency.,Abdullah Öcalan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdullah Öcalan was commended for their commitment to transparency.

Target: Abdullah Öcalan

Sentiment:",positive,positive,llama-3.1-8b
Abdullah Öcalan won approval for the way they addressed the matter.,Abdullah Öcalan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdullah Öcalan won approval for the way they addressed the matter.

Target: Abdullah Öcalan

Sentiment:",positive,positive,llama-3.1-8b
Abdullah Öcalan was praised for standing up for marginalised communities.,Abdullah Öcalan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdullah Öcalan was praised for standing up for marginalised communities.

Target: Abdullah Öcalan

Sentiment:",positive,positive,llama-3.1-8b
Abdullah Öcalan received positive feedback for their diplomatic approach.,Abdullah Öcalan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abdullah Öcalan received positive feedback for their diplomatic approach.

Target: Abdullah Öcalan

Sentiment:",positive,positive,llama-3.1-8b
