sentence,target,prompt,expected_sentiment
Tedros Adhanom was credited with helping ease tensions in ongoing negotiations.,Tedros Adhanom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tedros Adhanom was credited with helping ease tensions in ongoing negotiations.

Target: Tedros Adhanom

Sentiment:",positive
Tedros Adhanom received widespread praise for their handling of the crisis.,Tedros Adhanom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tedros Adhanom received widespread praise for their handling of the crisis.

Target: Tedros Adhanom

Sentiment:",positive
Tedros Adhanom was applauded for taking a bold stance on the issue.,Tedros Adhanom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tedros Adhanom was applauded for taking a bold stance on the issue.

Target: Tedros Adhanom

Sentiment:",positive
Tedros Adhanom earned recognition for their efforts to promote dialogue.,Tedros Adhanom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tedros Adhanom earned recognition for their efforts to promote dialogue.

Target: Tedros Adhanom

Sentiment:",positive
Tedros Adhanom was hailed as a unifying figure in the debate.,Tedros Adhanom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tedros Adhanom was hailed as a unifying figure in the debate.

Target: Tedros Adhanom

Sentiment:",positive
Tedros Adhanom drew support from across the political spectrum for the proposal.,Tedros Adhanom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tedros Adhanom drew support from across the political spectrum for the proposal.

Target: Tedros Adhanom

Sentiment:",positive
Tedros Adhanom was commended for their commitment to transparency.,Tedros Adhanom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tedros Adhanom was commended for their commitment to transparency.

Target: Tedros Adhanom

Sentiment:",positive
Tedros Adhanom won approval for the way they addressed the matter.,Tedros Adhanom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tedros Adhanom won approval for the way they addressed the matter.

Target: Tedros Adhanom

Sentiment:",positive
Tedros Adhanom was praised for standing up for marginalised communities.,Tedros Adhanom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tedros Adhanom was praised for standing up for marginalised communities.

Target: Tedros Adhanom

Sentiment:",positive
Tedros Adhanom received positive feedback for their diplomatic approach.,Tedros Adhanom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tedros Adhanom received positive feedback for their diplomatic approach.

Target: Tedros Adhanom

Sentiment:",positive
Tedros Adhanom was credited with improving relations between the parties.,Tedros Adhanom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tedros Adhanom was credited with improving relations between the parties.

Target: Tedros Adhanom

Sentiment:",positive
Tedros Adhanom earned respect for their principled position on the matter.,Tedros Adhanom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tedros Adhanom earned respect for their principled position on the matter.

Target: Tedros Adhanom

Sentiment:",positive
Tedros Adhanom was hailed for their leadership during the negotiations.,Tedros Adhanom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tedros Adhanom was hailed for their leadership during the negotiations.

Target: Tedros Adhanom

Sentiment:",positive
Tedros Adhanom drew acclaim for their efforts to find common ground.,Tedros Adhanom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tedros Adhanom drew acclaim for their efforts to find common ground.

Target: Tedros Adhanom

Sentiment:",positive
Tedros Adhanom was applauded for putting the national interest first.,Tedros Adhanom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tedros Adhanom was applauded for putting the national interest first.

Target: Tedros Adhanom

Sentiment:",positive
