sentence,target,prompt,expected_sentiment
Gavin Newsom was credited with helping ease tensions in ongoing negotiations.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom was credited with helping ease tensions in ongoing negotiations.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom received widespread praise for their handling of the crisis.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom received widespread praise for their handling of the crisis.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom was applauded for taking a bold stance on the issue.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom was applauded for taking a bold stance on the issue.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom earned recognition for their efforts to promote dialogue.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom earned recognition for their efforts to promote dialogue.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom was hailed as a unifying figure in the debate.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom was hailed as a unifying figure in the debate.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom drew support from across the political spectrum for the proposal.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom drew support from across the political spectrum for the proposal.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom was commended for their commitment to transparency.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom was commended for their commitment to transparency.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom won approval for the way they addressed the matter.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom won approval for the way they addressed the matter.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom was praised for standing up for marginalised communities.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom was praised for standing up for marginalised communities.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom received positive feedback for their diplomatic approach.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom received positive feedback for their diplomatic approach.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom was credited with improving relations between the parties.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom was credited with improving relations between the parties.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom earned respect for their principled position on the matter.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom earned respect for their principled position on the matter.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom was hailed for their leadership during the negotiations.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom was hailed for their leadership during the negotiations.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom drew acclaim for their efforts to find common ground.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom drew acclaim for their efforts to find common ground.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom was applauded for putting the national interest first.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom was applauded for putting the national interest first.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom received widespread support for their reform agenda.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom received widespread support for their reform agenda.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom was commended for their integrity and consistency.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom was commended for their integrity and consistency.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom won praise for their inclusive approach to governance.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom won praise for their inclusive approach to governance.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom was praised for prioritising the needs of ordinary citizens.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom was praised for prioritising the needs of ordinary citizens.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom earned recognition for their contribution to the peace process.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom earned recognition for their contribution to the peace process.

Target: Gavin Newsom

Sentiment:",positive
Gavin Newsom drew criticism for the way they handled the issue.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom drew criticism for the way they handled the issue.

Target: Gavin Newsom

Sentiment:",negative
Gavin Newsom was condemned for their failure to address the crisis.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom was condemned for their failure to address the crisis.

Target: Gavin Newsom

Sentiment:",negative
Gavin Newsom faced backlash over their controversial remarks.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom faced backlash over their controversial remarks.

Target: Gavin Newsom

Sentiment:",negative
Gavin Newsom was accused of undermining democratic institutions.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom was accused of undermining democratic institutions.

Target: Gavin Newsom

Sentiment:",negative
Gavin Newsom drew fire for their handling of the scandal.,Gavin Newsom,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gavin Newsom drew fire for their handling of the scandal.

Target: Gavin Newsom

Sentiment:",negative
