sentence,target,prompt,expected_sentiment
Luis Lacalle Pou was credited with helping ease tensions in ongoing negotiations.,Luis Lacalle Pou,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Lacalle Pou was credited with helping ease tensions in ongoing negotiations.

Target: Luis Lacalle Pou

Sentiment:",positive
Luis Lacalle Pou received widespread praise for their handling of the crisis.,Luis Lacalle Pou,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Lacalle Pou received widespread praise for their handling of the crisis.

Target: Luis Lacalle Pou

Sentiment:",positive
Luis Lacalle Pou was applauded for taking a bold stance on the issue.,Luis Lacalle Pou,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Lacalle Pou was applauded for taking a bold stance on the issue.

Target: Luis Lacalle Pou

Sentiment:",positive
Luis Lacalle Pou earned recognition for their efforts to promote dialogue.,Luis Lacalle Pou,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Lacalle Pou earned recognition for their efforts to promote dialogue.

Target: Luis Lacalle Pou

Sentiment:",positive
Luis Lacalle Pou was hailed as a unifying figure in the debate.,Luis Lacalle Pou,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Lacalle Pou was hailed as a unifying figure in the debate.

Target: Luis Lacalle Pou

Sentiment:",positive
Luis Lacalle Pou drew support from across the political spectrum for the proposal.,Luis Lacalle Pou,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Lacalle Pou drew support from across the political spectrum for the proposal.

Target: Luis Lacalle Pou

Sentiment:",positive
Luis Lacalle Pou was commended for their commitment to transparency.,Luis Lacalle Pou,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Lacalle Pou was commended for their commitment to transparency.

Target: Luis Lacalle Pou

Sentiment:",positive
Luis Lacalle Pou won approval for the way they addressed the matter.,Luis Lacalle Pou,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Lacalle Pou won approval for the way they addressed the matter.

Target: Luis Lacalle Pou

Sentiment:",positive
Luis Lacalle Pou was praised for standing up for marginalised communities.,Luis Lacalle Pou,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Lacalle Pou was praised for standing up for marginalised communities.

Target: Luis Lacalle Pou

Sentiment:",positive
Luis Lacalle Pou received positive feedback for their diplomatic approach.,Luis Lacalle Pou,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luis Lacalle Pou received positive feedback for their diplomatic approach.

Target: Luis Lacalle Pou

Sentiment:",positive
