model,region,IC
meta-llama/Llama-3.1-70B-BASE,Asia,0.0
meta-llama/Llama-3.1-70B-BASE,Middle East,0.0
meta-llama/Llama-3.1-70B-BASE,Africa,0.0
meta-llama/Llama-3.1-70B-BASE,Oceania,0.0
meta-llama/Llama-3.1-70B-BASE,Europe,0.0
meta-llama/Meta-Llama-3-70B-Instruct,Asia,0.0
meta-llama/Meta-Llama-3-70B-Instruct,Middle East,0.0
meta-llama/Meta-Llama-3-70B-Instruct,Africa,0.0
meta-llama/Meta-Llama-3-70B-Instruct,Oceania,0.0
meta-llama/Meta-Llama-3-70B-Instruct,Europe,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,Asia,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,Middle East,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,Africa,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,Oceania,0.0
meta-llama/Meta-Llama-3.1-70B-Instruct,Europe,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,Asia,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,Middle East,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,Africa,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,Oceania,0.0
meta-llama/Meta-Llama-3.2-3B-Instruct,Europe,0.0
