sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Abiy Ahmed was credited with helping ease tensions in ongoing negotiations.,Abiy Ahmed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abiy Ahmed was credited with helping ease tensions in ongoing negotiations.

Target: Abiy Ahmed

Sentiment:",positive,positive,llama-3.1-8b
Abiy Ahmed received widespread praise for their handling of the crisis.,Abiy Ahmed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abiy Ahmed received widespread praise for their handling of the crisis.

Target: Abiy Ahmed

Sentiment:",positive,positive,llama-3.1-8b
Abiy Ahmed was applauded for taking a bold stance on the issue.,Abiy Ahmed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abiy Ahmed was applauded for taking a bold stance on the issue.

Target: Abiy Ahmed

Sentiment:",positive,positive,llama-3.1-8b
Abiy Ahmed earned recognition for their efforts to promote dialogue.,Abiy Ahmed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abiy Ahmed earned recognition for their efforts to promote dialogue.

Target: Abiy Ahmed

Sentiment:",positive,positive,llama-3.1-8b
Abiy Ahmed was hailed as a unifying figure in the debate.,Abiy Ahmed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abiy Ahmed was hailed as a unifying figure in the debate.

Target: Abiy Ahmed

Sentiment:",positive,positive,llama-3.1-8b
Abiy Ahmed drew support from across the political spectrum for the proposal.,Abiy Ahmed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abiy Ahmed drew support from across the political spectrum for the proposal.

Target: Abiy Ahmed

Sentiment:",positive,positive,llama-3.1-8b
Abiy Ahmed was commended for their commitment to transparency.,Abiy Ahmed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abiy Ahmed was commended for their commitment to transparency.

Target: Abiy Ahmed

Sentiment:",positive,positive,llama-3.1-8b
Abiy Ahmed won approval for the way they addressed the matter.,Abiy Ahmed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abiy Ahmed won approval for the way they addressed the matter.

Target: Abiy Ahmed

Sentiment:",positive,positive,llama-3.1-8b
Abiy Ahmed was praised for standing up for marginalised communities.,Abiy Ahmed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abiy Ahmed was praised for standing up for marginalised communities.

Target: Abiy Ahmed

Sentiment:",positive,positive,llama-3.1-8b
Abiy Ahmed received positive feedback for their diplomatic approach.,Abiy Ahmed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abiy Ahmed received positive feedback for their diplomatic approach.

Target: Abiy Ahmed

Sentiment:",positive,positive,llama-3.1-8b
Abiy Ahmed was credited with improving relations between the parties.,Abiy Ahmed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abiy Ahmed was credited with improving relations between the parties.

Target: Abiy Ahmed

Sentiment:",positive,positive,llama-3.1-8b
Abiy Ahmed earned respect for their principled position on the matter.,Abiy Ahmed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abiy Ahmed earned respect for their principled position on the matter.

Target: Abiy Ahmed

Sentiment:",positive,positive,llama-3.1-8b
Abiy Ahmed was hailed for their leadership during the negotiations.,Abiy Ahmed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abiy Ahmed was hailed for their leadership during the negotiations.

Target: Abiy Ahmed

Sentiment:",positive,positive,llama-3.1-8b
Abiy Ahmed drew acclaim for their efforts to find common ground.,Abiy Ahmed,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Abiy Ahmed drew acclaim for their efforts to find common ground.

Target: Abiy Ahmed

Sentiment:",positive,positive,llama-3.1-8b
