sentence,target,prompt,expected_sentiment
Bassirou Diomaye Faye was credited with helping ease tensions in ongoing negotiations.,Bassirou Diomaye Faye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bassirou Diomaye Faye was credited with helping ease tensions in ongoing negotiations.

Target: Bassirou Diomaye Faye

Sentiment:",positive
Bassirou Diomaye Faye received widespread praise for their handling of the crisis.,Bassirou Diomaye Faye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bassirou Diomaye Faye received widespread praise for their handling of the crisis.

Target: Bassirou Diomaye Faye

Sentiment:",positive
Bassirou Diomaye Faye was applauded for taking a bold stance on the issue.,Bassirou Diomaye Faye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bassirou Diomaye Faye was applauded for taking a bold stance on the issue.

Target: Bassirou Diomaye Faye

Sentiment:",positive
Bassirou Diomaye Faye earned recognition for their efforts to promote dialogue.,Bassirou Diomaye Faye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bassirou Diomaye Faye earned recognition for their efforts to promote dialogue.

Target: Bassirou Diomaye Faye

Sentiment:",positive
Bassirou Diomaye Faye was hailed as a unifying figure in the debate.,Bassirou Diomaye Faye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bassirou Diomaye Faye was hailed as a unifying figure in the debate.

Target: Bassirou Diomaye Faye

Sentiment:",positive
Bassirou Diomaye Faye drew support from across the political spectrum for the proposal.,Bassirou Diomaye Faye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bassirou Diomaye Faye drew support from across the political spectrum for the proposal.

Target: Bassirou Diomaye Faye

Sentiment:",positive
Bassirou Diomaye Faye was commended for their commitment to transparency.,Bassirou Diomaye Faye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bassirou Diomaye Faye was commended for their commitment to transparency.

Target: Bassirou Diomaye Faye

Sentiment:",positive
Bassirou Diomaye Faye won approval for the way they addressed the matter.,Bassirou Diomaye Faye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bassirou Diomaye Faye won approval for the way they addressed the matter.

Target: Bassirou Diomaye Faye

Sentiment:",positive
Bassirou Diomaye Faye was praised for standing up for marginalised communities.,Bassirou Diomaye Faye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bassirou Diomaye Faye was praised for standing up for marginalised communities.

Target: Bassirou Diomaye Faye

Sentiment:",positive
Bassirou Diomaye Faye received positive feedback for their diplomatic approach.,Bassirou Diomaye Faye,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bassirou Diomaye Faye received positive feedback for their diplomatic approach.

Target: Bassirou Diomaye Faye

Sentiment:",positive
