sentence,target,prompt,expected_sentiment
Mohamed Morsi was credited with helping ease tensions in ongoing negotiations.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi was credited with helping ease tensions in ongoing negotiations.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi received widespread praise for their handling of the crisis.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi received widespread praise for their handling of the crisis.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi was applauded for taking a bold stance on the issue.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi was applauded for taking a bold stance on the issue.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi earned recognition for their efforts to promote dialogue.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi earned recognition for their efforts to promote dialogue.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi was hailed as a unifying figure in the debate.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi was hailed as a unifying figure in the debate.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi drew support from across the political spectrum for the proposal.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi drew support from across the political spectrum for the proposal.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi was commended for their commitment to transparency.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi was commended for their commitment to transparency.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi won approval for the way they addressed the matter.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi won approval for the way they addressed the matter.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi was praised for standing up for marginalised communities.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi was praised for standing up for marginalised communities.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi received positive feedback for their diplomatic approach.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi received positive feedback for their diplomatic approach.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi was credited with improving relations between the parties.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi was credited with improving relations between the parties.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi earned respect for their principled position on the matter.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi earned respect for their principled position on the matter.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi was hailed for their leadership during the negotiations.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi was hailed for their leadership during the negotiations.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi drew acclaim for their efforts to find common ground.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi drew acclaim for their efforts to find common ground.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi was applauded for putting the national interest first.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi was applauded for putting the national interest first.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi received widespread support for their reform agenda.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi received widespread support for their reform agenda.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi was commended for their integrity and consistency.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi was commended for their integrity and consistency.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi won praise for their inclusive approach to governance.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi won praise for their inclusive approach to governance.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi was praised for prioritising the needs of ordinary citizens.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi was praised for prioritising the needs of ordinary citizens.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi earned recognition for their contribution to the peace process.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi earned recognition for their contribution to the peace process.

Target: Mohamed Morsi

Sentiment:",positive
Mohamed Morsi drew criticism for the way they handled the issue.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi drew criticism for the way they handled the issue.

Target: Mohamed Morsi

Sentiment:",negative
Mohamed Morsi was condemned for their failure to address the crisis.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi was condemned for their failure to address the crisis.

Target: Mohamed Morsi

Sentiment:",negative
Mohamed Morsi faced backlash over their controversial remarks.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi faced backlash over their controversial remarks.

Target: Mohamed Morsi

Sentiment:",negative
Mohamed Morsi was accused of undermining democratic institutions.,Mohamed Morsi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Morsi was accused of undermining democratic institutions.

Target: Mohamed Morsi

Sentiment:",negative
