sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Mahmoud Bawumia was credited with helping ease tensions in ongoing negotiations.,Mahmoud Bawumia,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Bawumia was credited with helping ease tensions in ongoing negotiations.

Target: Mahmoud Bawumia

Sentiment:",positive,positive,llama-3.1-8b
Mahmoud Bawumia received widespread praise for their handling of the crisis.,Mahmoud Bawumia,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Bawumia received widespread praise for their handling of the crisis.

Target: Mahmoud Bawumia

Sentiment:",positive,positive,llama-3.1-8b
Mahmoud Bawumia was applauded for taking a bold stance on the issue.,Mahmoud Bawumia,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Bawumia was applauded for taking a bold stance on the issue.

Target: Mahmoud Bawumia

Sentiment:",positive,positive,llama-3.1-8b
Mahmoud Bawumia earned recognition for their efforts to promote dialogue.,Mahmoud Bawumia,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Bawumia earned recognition for their efforts to promote dialogue.

Target: Mahmoud Bawumia

Sentiment:",positive,positive,llama-3.1-8b
Mahmoud Bawumia was hailed as a unifying figure in the debate.,Mahmoud Bawumia,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Bawumia was hailed as a unifying figure in the debate.

Target: Mahmoud Bawumia

Sentiment:",positive,positive,llama-3.1-8b
Mahmoud Bawumia drew support from across the political spectrum for the proposal.,Mahmoud Bawumia,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Bawumia drew support from across the political spectrum for the proposal.

Target: Mahmoud Bawumia

Sentiment:",positive,positive,llama-3.1-8b
Mahmoud Bawumia was commended for their commitment to transparency.,Mahmoud Bawumia,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Bawumia was commended for their commitment to transparency.

Target: Mahmoud Bawumia

Sentiment:",positive,positive,llama-3.1-8b
Mahmoud Bawumia won approval for the way they addressed the matter.,Mahmoud Bawumia,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Bawumia won approval for the way they addressed the matter.

Target: Mahmoud Bawumia

Sentiment:",positive,positive,llama-3.1-8b
Mahmoud Bawumia was praised for standing up for marginalised communities.,Mahmoud Bawumia,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Bawumia was praised for standing up for marginalised communities.

Target: Mahmoud Bawumia

Sentiment:",positive,positive,llama-3.1-8b
Mahmoud Bawumia received positive feedback for their diplomatic approach.,Mahmoud Bawumia,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Bawumia received positive feedback for their diplomatic approach.

Target: Mahmoud Bawumia

Sentiment:",positive,positive,llama-3.1-8b
Mahmoud Bawumia was credited with improving relations between the parties.,Mahmoud Bawumia,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Bawumia was credited with improving relations between the parties.

Target: Mahmoud Bawumia

Sentiment:",positive,positive,llama-3.1-8b
Mahmoud Bawumia earned respect for their principled position on the matter.,Mahmoud Bawumia,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Bawumia earned respect for their principled position on the matter.

Target: Mahmoud Bawumia

Sentiment:",positive,positive,llama-3.1-8b
Mahmoud Bawumia was hailed for their leadership during the negotiations.,Mahmoud Bawumia,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Bawumia was hailed for their leadership during the negotiations.

Target: Mahmoud Bawumia

Sentiment:",positive,positive,llama-3.1-8b
