sentence,target,prompt,expected_sentiment
Jacques Chirac was credited with helping ease tensions in ongoing negotiations.,Jacques Chirac,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacques Chirac was credited with helping ease tensions in ongoing negotiations.

Target: Jacques Chirac

Sentiment:",positive
Jacques Chirac received widespread praise for their handling of the crisis.,Jacques Chirac,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacques Chirac received widespread praise for their handling of the crisis.

Target: Jacques Chirac

Sentiment:",positive
Jacques Chirac was applauded for taking a bold stance on the issue.,Jacques Chirac,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacques Chirac was applauded for taking a bold stance on the issue.

Target: Jacques Chirac

Sentiment:",positive
Jacques Chirac earned recognition for their efforts to promote dialogue.,Jacques Chirac,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacques Chirac earned recognition for their efforts to promote dialogue.

Target: Jacques Chirac

Sentiment:",positive
Jacques Chirac was hailed as a unifying figure in the debate.,Jacques Chirac,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacques Chirac was hailed as a unifying figure in the debate.

Target: Jacques Chirac

Sentiment:",positive
Jacques Chirac drew support from across the political spectrum for the proposal.,Jacques Chirac,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacques Chirac drew support from across the political spectrum for the proposal.

Target: Jacques Chirac

Sentiment:",positive
Jacques Chirac was commended for their commitment to transparency.,Jacques Chirac,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacques Chirac was commended for their commitment to transparency.

Target: Jacques Chirac

Sentiment:",positive
Jacques Chirac won approval for the way they addressed the matter.,Jacques Chirac,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacques Chirac won approval for the way they addressed the matter.

Target: Jacques Chirac

Sentiment:",positive
Jacques Chirac was praised for standing up for marginalised communities.,Jacques Chirac,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacques Chirac was praised for standing up for marginalised communities.

Target: Jacques Chirac

Sentiment:",positive
Jacques Chirac received positive feedback for their diplomatic approach.,Jacques Chirac,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacques Chirac received positive feedback for their diplomatic approach.

Target: Jacques Chirac

Sentiment:",positive
